mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_X-101-64x4d-FPN;hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);scnet_X-101-64x4d-FPN;bbox_ap;mask_ap;tp;tp%;tp_s;tp_s%;tp_m;tp_m%;tp_l;tp_l%;tp_2;tp_2%;tp_2_s;tp_2_s%;tp_2_m;tp_2_m%;tp_2_l;tp_2_l%;fp;fp%;fp_s;fp_s%;fp_m;fp_m%;fp_l;fp_l%;fp_2;fp_2%;fp_2_s;fp_2_s%;fp_2_m;fp_2_m%;fp_2_l;fp_2_l%;tn;tn%;tn_s;tn_s%;tn_m;tn_m%;tn_l;tn_l%;tn_2;tn_2%;tn_2_s;tn_2_s%;tn_2_m;tn_2_m%;tn_2_l;tn_2_l%;fn;fn%;fn_s;fn_s%;fn_m;fn_m%;fn_l;fn_l%;fn_2;fn_2%;fn_2_s;fn_2_s%;fn_2_m;fn_2_m%;fn_2_l;fn_2_l%;cg;cg%;cg_s;cg_s%;cg_m;cg_m%;cg_l;cg_l%;c_cg;c_cg%;c_cg_s;c_cg_s%;c_cg_m;c_cg_m%;c_cg_l;c_cg_l%;ig;ig%;ig_s;ig_s%;ig_m;ig_m%;ig_l;ig_l%;c_ig;c_ig%;c_ig_s;c_ig_s%;c_ig_m;c_ig_m%;c_ig_l;c_ig_l%;ng;ng%;ng_s;ng_s%;ng_m;ng_m%;ng_l;ng_l%;c_ng;c_ng%;c_ng_s;c_ng_s%;c_ng_m;c_ng_m%;c_ng_l;c_ng_l%
1;0;0;0;0;0.511;0.000;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;10122;0.47913;10122;0.98196;0;0.00000;0;0.00000;5243;0.46771;5243;0.97544;0;0.00000;0;0.00000;11004;0.52087;186;0.01804;383;1.00000;10435;1.00000;5967;0.53229;132;0.02456;282;1.00000;5553;1.00000
0;1;0;0;0;0.537;0.000;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;10551;0.48949;10551;0.98268;0;0.00000;0;0.00000;5638;0.48583;5638;0.97712;0;0.00000;0;0.00000;11004;0.51051;186;0.01732;383;1.00000;10435;1.00000;5967;0.51417;132;0.02288;282;1.00000;5553;1.00000
0;0;1;0;0;0.550;0.000;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;10250;0.48226;10250;0.98218;0;0.00000;0;0.00000;5291;0.46998;5291;0.97566;0;0.00000;0;0.00000;11004;0.51774;186;0.01782;383;1.00000;10435;1.00000;5967;0.53002;132;0.02434;282;1.00000;5553;1.00000
0;0;0;1;0;0.528;0.000;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;9707;0.46869;9707;0.98120;0;0.00000;0;0.00000;4813;0.44647;4813;0.97331;0;0.00000;0;0.00000;11004;0.53131;186;0.01880;383;1.00000;10435;1.00000;5967;0.55353;132;0.02669;282;1.00000;5553;1.00000
0;0;0;0;1;0.522;0.000;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;0;0.00000;9603;0.46601;9603;0.98100;0;0.00000;0;0.00000;4790;0.44529;4790;0.97318;0;0.00000;0;0.00000;11004;0.53399;186;0.01900;383;1.00000;10435;1.00000;5967;0.55471;132;0.02682;282;1.00000;5553;1.00000
1;2;0;0;0;0.543;0.444;100558550;0.47446;103;0.50990;3208;0.50768;100555239;0.47446;100561222;0.46139;70;0.53846;2508;0.50361;100555972;0.47446;5841408;0.02756;42;0.20792;547;0.08656;5840819;0.02756;7672200;0.03520;29;0.22308;403;0.08092;5840976;0.02756;94235837;0.44462;36;0.17822;1817;0.28755;94233984;0.44463;98407714;0.45151;19;0.14615;1460;0.29317;94234358;0.44463;11309135;0.05336;21;0.10396;747;0.11821;11308367;0.05336;11311251;0.05190;12;0.09231;609;0.12229;11308514;0.05336;8288;0.59365;7;0.00449;83;0.18527;8198;0.68580;4071;0.51728;5;0.00530;67;0.20427;3999;0.60609;2957;0.21180;1373;0.88069;65;0.14509;1519;0.12707;1903;0.24180;812;0.86017;46;0.14024;1045;0.15838;2716;0.19454;179;0.11482;300;0.66964;2237;0.18713;1896;0.24091;127;0.13453;215;0.65549;1554;0.23553
1;0;2;0;0;0.559;0.448;100394612;0.47392;128;0.52893;3129;0.51061;100391355;0.47392;100397446;0.46352;63;0.63000;2619;0.50579;100391930;0.47392;5105797;0.02410;45;0.18595;526;0.08584;5105226;0.02410;6446824;0.02976;7;0.07000;436;0.08420;5105354;0.02410;94959926;0.44826;48;0.19835;1773;0.28933;94958105;0.44827;98371837;0.45417;20;0.20000;1522;0.29394;94958384;0.44827;11379246;0.05372;21;0.08678;700;0.11423;11378525;0.05371;11381413;0.05255;10;0.10000;601;0.11607;11378635;0.05371;8246;0.58428;8;0.00437;81;0.18578;8157;0.68853;4034;0.50915;5;0.00465;65;0.20249;3964;0.60732;3109;0.22029;1644;0.89836;53;0.12156;1412;0.11919;1956;0.24688;943;0.87721;39;0.12150;974;0.14923;2758;0.19542;178;0.09727;302;0.69266;2278;0.19228;1933;0.24397;127;0.11814;217;0.67601;1589;0.24345
1;0;0;2;0;0.547;0.436;100070373;0.47204;89;0.50000;2915;0.50529;100067369;0.47204;100073163;0.46139;31;0.46970;2422;0.50786;100067920;0.47204;5364794;0.02531;40;0.22472;465;0.08060;5364289;0.02530;6785317;0.03128;17;0.25758;372;0.07800;5364405;0.02531;94829485;0.44732;34;0.19101;1735;0.30075;94827716;0.44732;98306088;0.45324;13;0.19697;1433;0.30048;94828039;0.44732;11729747;0.05533;15;0.08427;654;0.11336;11729078;0.05533;11731997;0.05409;5;0.07576;542;0.11365;11729200;0.05533;8203;0.58887;6;0.00339;76;0.17552;8121;0.69262;4002;0.51672;4;0.00402;62;0.19808;3936;0.61146;2926;0.21005;1586;0.89503;50;0.11547;1290;0.11002;1778;0.22957;863;0.86734;31;0.09904;884;0.13733;2801;0.20108;180;0.10158;307;0.70901;2314;0.19736;1965;0.25371;128;0.12864;220;0.70288;1617;0.25120
1;0;0;0;2;0.543;0.445;100543988;0.47414;84;0.47191;3001;0.50075;100540903;0.47414;100546750;0.46197;23;0.63889;2526;0.49617;100541439;0.47414;5224754;0.02464;40;0.22472;513;0.08560;5224201;0.02464;6723652;0.03089;2;0.05556;432;0.08486;5224320;0.02464;94902538;0.44754;34;0.19101;1768;0.29501;94900736;0.44754;98992713;0.45483;6;0.16667;1508;0.29621;94901024;0.44754;11384596;0.05369;20;0.11236;711;0.11864;11383865;0.05368;11386559;0.05232;5;0.13889;625;0.12277;11383966;0.05369;8233;0.59785;6;0.00398;79;0.18287;8148;0.68864;4023;0.52308;4;0.00449;63;0.20064;3956;0.60984;2767;0.20093;1321;0.87658;49;0.11343;1397;0.11807;1724;0.22416;758;0.85169;32;0.10191;934;0.14398;2771;0.20122;180;0.11944;304;0.70370;2287;0.19329;1944;0.25276;128;0.14382;219;0.69745;1597;0.24618
0;1;2;0;0;0.566;0.457;100967146;0.47681;185;0.57812;3605;0.49827;100963356;0.47681;100970228;0.46577;94;0.54651;3163;0.50230;100963889;0.47681;5208248;0.02460;56;0.17500;561;0.07754;5207631;0.02459;6677292;0.03080;33;0.19186;479;0.07607;5207736;0.02459;94755721;0.44748;49;0.15313;2199;0.30394;94753473;0.44748;98309952;0.45349;24;0.13953;1895;0.30094;94753802;0.44748;10823922;0.05112;30;0.09375;870;0.12025;10823022;0.05111;10825768;0.04994;21;0.12209;760;0.12069;10823141;0.05111;8392;0.59040;11;0.00629;98;0.21875;8283;0.68922;4167;0.51977;8;0.00803;77;0.23404;4082;0.60998;3210;0.22583;1562;0.89359;65;0.14509;1583;0.13172;2050;0.25571;864;0.86747;47;0.14286;1139;0.17020;2612;0.18376;175;0.10011;285;0.63616;2152;0.17906;1800;0.22452;124;0.12450;205;0.62310;1471;0.21981
