hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;detectors_htc_r101_20e_coco;cascade_mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);tp%;tp_s%;tp_m%;tp_l%;fp%;fp_s%;fp_m%;fp_l%;tn%;tn_s%;tn_m%;tn_l%;fn%;fn_s%;fn_m%;fn_l%;oa_full;oa_correct;p_full;p_correct;r_full;r_correct;f1_full;f1_correct;iou_full;iou_correct;cg%;cg_s%;cg_m%;cg_l%;ng%;ng_s%;ng_m%;ng_l%;tcg%;tcg_s%;tcg_m%;tcg_l%;tng%;tng_s%;tng_m%;tng_l%;tig%;tig_s%;tig_m%;tig_l%;ugr11%;ugr11_s%;ugr11_m%;ugr11_l%;ugr31%;ugr31_s%;ugr31_m%;ugr31_l%;ugr13%;ugr13_s%;ugr13_m%;ugr13_l%
1;0;0;0;0;0.46151;0.49306;0.48923;0.46114;0.05083;0.17569;0.10267;0.05011;0.43494;0.26458;0.30792;0.43664;0.05273;0.06667;0.10019;0.05212;0.62856;0.89645;0.63207;0.90145;0.62825;0.89600;0.62688;0.89405;0.57089;0.81419;0.78946;0.02210;0.45923;0.81029;0.21054;0.97790;0.54077;0.18971;0.70117;0.02073;0.33648;0.72245;0.18700;0.91710;0.39623;0.16915;0.11183;0.06218;0.26730;0.10841;0.42619;47.25000;1.97196;0.38418;0.95957;135.75000;4.32710;0.85245;0.74518;53.25000;3.56075;0.68429
0;1;0;0;0;0.46072;0.56771;0.49301;0.46032;0.05003;0.17188;0.11112;0.04929;0.43659;0.13542;0.30305;0.43822;0.05266;0.12500;0.09282;0.05217;0.62381;0.89731;0.62752;0.90265;0.62292;0.89603;0.62196;0.89465;0.56674;0.81521;0.78222;0.01105;0.43304;0.80322;0.21778;0.98895;0.56696;0.19678;0.69520;0.01036;0.30218;0.71745;0.19355;0.92746;0.39564;0.17577;0.11125;0.06218;0.30218;0.10679;0.43843;95.50000;2.30928;0.39383;0.99526;274.50000;4.92784;0.88381;0.75848;107.50000;4.30928;0.69151
0;0;1;0;0;0.45818;0.52288;0.49219;0.45775;0.05032;0.23335;0.09879;0.04966;0.43590;0.14669;0.30440;0.43758;0.05560;0.09708;0.10463;0.05501;0.61501;0.89408;0.62015;0.90155;0.61238;0.89026;0.61287;0.89097;0.55667;0.80927;0.78278;0.02198;0.42795;0.80397;0.21722;0.97802;0.57205;0.19603;0.68787;0.02128;0.30435;0.70904;0.19088;0.94681;0.40683;0.17288;0.12125;0.03191;0.28882;0.11809;0.45377;46.00000;2.28571;0.41037;1.00877;135.00000;4.95918;0.89801;0.80631;49.00000;4.18367;0.74346
0;0;0;1;0;0.45934;0.47361;0.48036;0.45909;0.05257;0.11597;0.10747;0.05191;0.43297;0.33472;0.31238;0.43439;0.05512;0.07569;0.09978;0.05460;0.61355;0.89231;0.61758;0.89817;0.61277;0.89118;0.61184;0.88983;0.55514;0.80736;0.77934;0.02198;0.41850;0.80054;0.22066;0.97802;0.58150;0.19946;0.68760;0.02094;0.30351;0.70874;0.19468;0.93194;0.42173;0.17659;0.11772;0.04712;0.27476;0.11468;0.45434;46.75000;2.29474;0.41096;1.02060;135.75000;5.07368;0.90928;0.79676;51.25000;4.10526;0.73458
0;0;0;0;1;0.45828;0.48750;0.48205;0.45802;0.05251;0.03750;0.11431;0.05185;0.43342;0.35000;0.30408;0.43483;0.05579;0.12500;0.09956;0.05530;0.61562;0.89170;0.61997;0.89800;0.61424;0.88970;0.61370;0.88893;0.55651;0.80608;0.77693;0.01105;0.41014;0.79796;0.22307;0.98895;0.58986;0.20204;0.69039;0.01053;0.30375;0.71121;0.19822;0.94211;0.43686;0.18008;0.11140;0.04737;0.25939;0.10872;0.44847;94.00000;2.29213;0.40606;1.02269;273.00000;5.16854;0.91246;0.77117;103.00000;4.00000;0.71178
1;2;0;0;0;0.46499;0.54375;0.49680;0.46453;0.05966;0.15375;0.12402;0.05878;0.42976;0.19917;0.29392;0.43164;0.04558;0.10333;0.08526;0.04504;0.62253;0.89475;0.61734;0.88729;0.63278;0.90948;0.62162;0.89344;0.56586;0.81329;0.81804;0.02747;0.48069;0.83951;0.18196;0.97253;0.51931;0.16049;0.69576;0.02463;0.29867;0.71934;0.15476;0.87192;0.32267;0.13752;0.14948;0.10345;0.37867;0.14314;0.43727;39.60000;2.34821;0.39016;0.88215;110.40000;4.50893;0.77250;0.86695;48.00000;4.88393;0.78814
1;0;2;0;0;0.46380;0.53519;0.49678;0.46331;0.05931;0.17519;0.11322;0.05852;0.42941;0.22889;0.29573;0.43131;0.04749;0.06074;0.09426;0.04686;0.61789;0.89320;0.61394;0.88749;0.62666;0.90588;0.61682;0.89165;0.56061;0.81041;0.82008;0.02762;0.48548;0.84172;0.17992;0.97238;0.51452;0.15828;0.69177;0.02525;0.30871;0.71448;0.15177;0.88889;0.32718;0.13436;0.15647;0.08586;0.36412;0.15116;0.44558;38.60000;2.23932;0.39961;0.88436;109.00000;4.35897;0.77570;0.89794;45.40000;4.59829;0.82274
1;0;0;2;0;0.46498;0.51111;0.49405;0.46458;0.06116;0.19000;0.11484;0.06039;0.42771;0.24556;0.30329;0.42942;0.04615;0.05333;0.08781;0.04561;0.61409;0.89269;0.60852;0.88459;0.62493;0.90845;0.61330;0.89155;0.55733;0.81018;0.80932;0.02762;0.47234;0.83061;0.19068;0.97238;0.52766;0.16939;0.68791;0.02525;0.31534;0.70954;0.16208;0.88889;0.35227;0.14469;0.15001;0.08586;0.33239;0.14577;0.45368;38.60000;2.17117;0.40937;0.92490;109.00000;4.40541;0.81722;0.88982;45.40000;4.27928;0.82024
1;0;0;0;2;0.46501;0.49306;0.49136;0.46464;0.06164;0.18194;0.11662;0.06085;0.42714;0.25833;0.30045;0.42890;0.04622;0.06667;0.09158;0.04560;0.61684;0.89214;0.61116;0.88393;0.62810;0.90842;0.61617;0.89117;0.55977;0.80960;0.81312;0.02186;0.49356;0.83428;0.18688;0.97814;0.50644;0.16572;0.69142;0.02010;0.33046;0.71279;0.15891;0.89950;0.33908;0.14158;0.14968;0.08040;0.33046;0.14563;0.44631;48.75000;2.02609;0.40294;0.90597;138.25000;4.07826;0.80021;0.87927;56.75000;4.02609;0.81155
0;1;2;0;0;0.46380;0.55978;0.49561;0.46333;0.06030;0.16672;0.12455;0.05938;0.42922;0.17049;0.29166;0.43119;0.04668;0.10301;0.08818;0.04610;0.61716;0.89302;0.61231;0.88600;0.62703;0.90729;0.61613;0.89153;0.56000;0.81030;0.82333;0.02235;0.49167;0.84485;0.17667;0.97765;0.50833;0.15515;0.69110;0.02051;0.30412;0.71402;0.14830;0.89744;0.31443;0.13112;0.16060;0.08205;0.38144;0.15486;0.44697;47.75000;2.28814;0.40053;0.87614;135.25000;4.35593;0.76780;0.91175;55.75000;4.79661;0.83430
