;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;4101;4101;0
0-1-0-0-0;4236;4236;0
0-0-1-0-0;4251;4251;0
0-0-0-1-0;4028;4028;0
0-0-0-0-1;4026;4026;0
1-2-0-0-0;4379;4379;4071
1-0-2-0-0;4480;4480;4034
1-0-0-2-0;4393;4393;4002
1-0-0-0-2;4372;4372;4023
0-1-2-0-0;4514;4514;4167
0-1-0-2-0;4462;4462;4115
0-1-0-0-2;4425;4425;4154
0-0-1-2-0;4398;4398;4178
0-0-1-0-2;4390;4390;4194
0-0-0-1-2;4285;4285;3966
1-2-3-0-0;4344;4338;4322
1-2-0-3-0;4329;4324;4301
1-2-0-0-3;4344;4339;4318
1-0-2-3-0;4430;4422;4397
1-0-2-0-3;4432;4426;4402
1-0-0-2-3;4342;4337;4300
0-1-2-3-0;4465;4460;4434
0-1-2-0-3;4472;4464;4445
0-1-0-2-3;4403;4397;4366
0-0-1-2-3;4369;4370;4344
1-2-3-4-0;4542;4531;4515
1-2-3-0-4;4539;4534;4519
1-2-0-3-4;4497;4490;4472
1-0-2-3-4;4529;4522;4501
0-1-2-3-4;4553;4548;4533
1-2-3-4-5;4499;4488;4474
