;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;4029;4029;0
0-1-0-0-0;4148;4148;0
0-0-1-0-0;4151;4151;0
0-0-0-1-0;3955;3955;0
0-0-0-0-1;3947;3947;0
1-2-0-0-0;4283;4283;3999
1-0-2-0-0;4370;4370;3964
1-0-0-2-0;4300;4300;3936
1-0-0-0-2;4279;4279;3956
0-1-2-0-0;4401;4401;4082
0-1-0-2-0;4362;4362;4035
0-1-0-0-2;4325;4325;4072
0-0-1-2-0;4290;4290;4084
0-0-1-0-2;4285;4285;4102
0-0-0-1-2;4193;4193;3895
1-2-3-0-0;4250;4243;4229
1-2-0-3-0;4236;4231;4209
1-2-0-0-3;4251;4246;4225
1-0-2-3-0;4327;4319;4293
1-0-2-0-3;4329;4323;4298
1-0-0-2-3;4252;4247;4210
0-1-2-3-0;4357;4353;4327
0-1-2-0-3;4366;4358;4340
0-1-0-2-3;4306;4300;4270
0-0-1-2-3;4264;4265;4239
1-2-3-4-0;4429;4418;4402
1-2-3-0-4;4427;4422;4408
1-2-0-3-4;4392;4385;4368
1-0-2-3-4;4415;4408;4386
0-1-2-3-4;4438;4433;4419
1-2-3-4-5;4389;4378;4365
