;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.20872;0.20872;0.00000
0-1-0-0-0;0.23167;0.23167;0.00000
0-0-1-0-0;0.28349;0.28349;0.00000
0-0-0-1-0;0.22222;0.22222;0.00000
0-0-0-0-1;0.23684;0.23684;0.00000
1-2-0-0-0;0.24857;0.24857;0.20427
1-0-2-0-0;0.28779;0.28779;0.20249
1-0-0-2-0;0.26220;0.26220;0.19808
1-0-0-0-2;0.25382;0.25382;0.20064
0-1-2-0-0;0.28134;0.28134;0.23404
0-1-0-2-0;0.26000;0.26000;0.22741
0-1-0-0-2;0.25215;0.25215;0.23220
0-0-1-2-0;0.30154;0.30154;0.26562
0-0-1-0-2;0.28963;0.28963;0.26498
0-0-0-1-2;0.26837;0.26837;0.21359
1-2-3-0-0;0.25680;0.25595;0.24148
1-2-0-3-0;0.25532;0.25000;0.24138
1-2-0-0-3;0.25449;0.25074;0.24425
1-0-2-3-0;0.28049;0.27879;0.26724
1-0-2-0-3;0.28097;0.27679;0.27193
1-0-0-2-3;0.26498;0.26332;0.24926
0-1-2-3-0;0.28657;0.28235;0.27507
0-1-2-0-3;0.27566;0.27566;0.26781
0-1-0-2-3;0.26970;0.26727;0.26023
0-0-1-2-3;0.29688;0.29595;0.28701
1-2-3-4-0;0.29275;0.29060;0.28255
1-2-3-0-4;0.28571;0.28329;0.27397
1-2-0-3-4;0.28319;0.27988;0.26667
1-0-2-3-4;0.30931;0.30473;0.29513
0-1-2-3-4;0.29942;0.29942;0.29096
1-2-3-4-5;0.28994;0.28994;0.28000
