;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.03676;0.03676;0.00000
0-1-0-0-0;0.06122;0.06122;0.00000
0-0-1-0-0;0.06475;0.06475;0.00000
0-0-0-1-0;0.03704;0.03704;0.00000
0-0-0-0-1;0.05072;0.05072;0.00000
1-2-0-0-0;0.06250;0.06250;0.00530
1-0-2-0-0;0.07857;0.07857;0.00465
1-0-0-2-0;0.05072;0.05072;0.00402
1-0-0-0-2;0.07092;0.07092;0.00449
0-1-2-0-0;0.08219;0.08219;0.00803
0-1-0-2-0;0.06164;0.06164;0.00706
0-1-0-0-2;0.08392;0.08392;0.00836
0-0-1-2-0;0.07246;0.07246;0.01324
0-0-1-0-2;0.07143;0.07143;0.01294
0-0-0-1-2;0.05797;0.05797;0.00678
1-2-3-0-0;0.06429;0.06383;0.05556
1-2-0-3-0;0.06522;0.06475;0.05517
1-2-0-0-3;0.05755;0.05714;0.05479
1-0-2-3-0;0.07971;0.07914;0.07746
1-0-2-0-3;0.07246;0.07194;0.07746
1-0-0-2-3;0.04444;0.04412;0.04317
0-1-2-3-0;0.08511;0.07801;0.07333
0-1-2-0-3;0.08571;0.08392;0.07333
0-1-0-2-3;0.05755;0.05674;0.04698
0-0-1-2-3;0.07353;0.07246;0.07042
1-2-3-4-0;0.08571;0.07801;0.07534
1-2-3-0-4;0.08633;0.08392;0.07483
1-2-0-3-4;0.06429;0.06294;0.05479
1-0-2-3-4;0.07971;0.07801;0.08451
0-1-2-3-4;0.08571;0.08276;0.07432
1-2-3-4-5;0.08633;0.08333;0.07534
