;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;1142;1142;5243
0-1-0-0-0;1402;1402;5638
0-0-1-0-0;1040;1040;5291
0-0-0-1-0;785;785;4813
0-0-0-0-1;764;764;4790
1-2-0-0-0;1595;1595;1903
1-0-2-0-0;1510;1510;1956
1-0-0-2-0;1387;1387;1778
1-0-0-0-2;1375;1375;1724
0-1-2-0-0;1703;1703;2050
0-1-0-2-0;1596;1596;1943
0-1-0-0-2;1587;1587;1858
0-0-1-2-0;1253;1253;1473
0-0-1-0-2;1243;1243;1439
0-0-0-1-2;1048;1048;1367
1-2-3-0-0;1416;1422;1438
1-2-0-3-0;1367;1372;1395
1-2-0-0-3;1406;1411;1432
1-0-2-3-0;1313;1321;1346
1-0-2-0-3;1329;1335;1359
1-0-0-2-3;1209;1214;1251
0-1-2-3-0;1454;1459;1485
0-1-2-0-3;1486;1494;1513
0-1-0-2-3;1382;1388;1419
0-0-1-2-3;1167;1166;1192
1-2-3-4-0;1626;1637;1653
1-2-3-0-4;1655;1660;1675
1-2-0-3-4;1579;1586;1604
1-0-2-3-4;1474;1481;1502
0-1-2-3-4;1616;1621;1636
1-2-3-4-5;1482;1493;1507
