;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;1099;1099;0
0-1-0-0-0;1328;1328;0
0-0-1-0-0;994;994;0
0-0-0-1-0;758;758;0
0-0-0-0-1;736;736;0
1-2-0-0-0;1515;1515;1045
1-0-2-0-0;1440;1440;974
1-0-0-2-0;1335;1335;884
1-0-0-0-2;1321;1321;934
0-1-2-0-0;1612;1612;1139
0-1-0-2-0;1514;1514;1044
0-1-0-0-2;1509;1509;1112
0-0-1-2-0;1204;1204;887
0-0-1-0-2;1189;1189;918
0-0-0-1-2;1011;1011;734
1-2-3-0-0;1359;1359;1356
1-2-0-3-0;1314;1311;1316
1-2-0-0-3;1347;1346;1352
1-0-2-3-0;1261;1266;1270
1-0-2-0-3;1274;1274;1289
1-0-0-2-3;1171;1173;1189
0-1-2-3-0;1392;1392;1400
0-1-2-0-3;1419;1424;1426
0-1-0-2-3;1327;1328;1342
0-0-1-2-3;1125;1121;1133
1-2-3-4-0;1555;1559;1560
1-2-3-0-4;1580;1578;1577
1-2-0-3-4;1514;1514;1512
1-0-2-3-4;1417;1416;1425
0-1-2-3-4;1546;1546;1548
1-2-3-4-5;1419;1425;1425
