;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.12150;0.12150;0.00000
0-1-0-0-0;0.17302;0.17302;0.00000
0-0-1-0-0;0.12150;0.12150;0.00000
0-0-0-1-0;0.07843;0.07843;0.00000
0-0-0-0-1;0.07237;0.07237;0.00000
1-2-0-0-0;0.19429;0.19429;0.14024
1-0-2-0-0;0.18023;0.18023;0.12150
1-0-0-2-0;0.14024;0.14024;0.09904
1-0-0-0-2;0.13761;0.13761;0.10191
0-1-2-0-0;0.21448;0.21448;0.14286
0-1-0-2-0;0.19429;0.19429;0.12150
0-1-0-0-2;0.19198;0.19198;0.12693
0-0-1-2-0;0.13231;0.13231;0.11875
0-0-1-0-2;0.14024;0.14024;0.11041
0-0-0-1-2;0.09904;0.09904;0.08738
1-2-3-0-0;0.14804;0.16071;0.19886
1-2-0-3-0;0.14286;0.16071;0.18966
1-2-0-0-3;0.15569;0.16814;0.18966
1-0-2-3-0;0.14024;0.14545;0.18966
1-0-2-0-3;0.14804;0.16071;0.17544
1-0-0-2-3;0.11041;0.11599;0.16320
0-1-2-3-0;0.15821;0.17059;0.19198
0-1-2-0-3;0.17302;0.17302;0.19658
0-1-0-2-3;0.14545;0.15315;0.17544
0-0-1-2-3;0.11875;0.12150;0.14804
1-2-3-4-0;0.18261;0.19658;0.21884
1-2-3-0-4;0.19429;0.20113;0.22740
1-2-0-3-4;0.16814;0.17784;0.21667
1-0-2-3-4;0.15315;0.16568;0.19198
0-1-2-3-4;0.18023;0.18023;0.20339
1-2-3-4-5;0.16568;0.16568;0.19429
