;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;1866;1866;5967
0-1-0-0-0;1731;1731;5967
0-0-1-0-0;1716;1716;5967
0-0-0-1-0;1939;1939;5967
0-0-0-0-1;1941;1941;5967
1-2-0-0-0;1588;1588;1896
1-0-2-0-0;1487;1487;1933
1-0-0-2-0;1574;1574;1965
1-0-0-0-2;1595;1595;1944
0-1-2-0-0;1453;1453;1800
0-1-0-2-0;1505;1505;1852
0-1-0-0-2;1542;1542;1813
0-0-1-2-0;1569;1569;1789
0-0-1-0-2;1577;1577;1773
0-0-0-1-2;1682;1682;2001
1-2-3-0-0;1623;1629;1645
1-2-0-3-0;1638;1643;1666
1-2-0-0-3;1623;1628;1649
1-0-2-3-0;1537;1545;1570
1-0-2-0-3;1535;1541;1565
1-0-0-2-3;1625;1630;1667
0-1-2-3-0;1502;1507;1533
0-1-2-0-3;1495;1503;1522
0-1-0-2-3;1564;1570;1601
0-0-1-2-3;1598;1597;1623
1-2-3-4-0;1425;1436;1452
1-2-3-0-4;1428;1433;1448
1-2-0-3-4;1470;1477;1495
1-0-2-3-4;1438;1445;1466
0-1-2-3-4;1414;1419;1434
1-2-3-4-5;1468;1479;1493
