;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;1524;1524;5553
0-1-0-0-0;1405;1405;5553
0-0-1-0-0;1402;1402;5553
0-0-0-1-0;1598;1598;5553
0-0-0-0-1;1606;1606;5553
1-2-0-0-0;1270;1270;1554
1-0-2-0-0;1183;1183;1589
1-0-0-2-0;1253;1253;1617
1-0-0-0-2;1274;1274;1597
0-1-2-0-0;1152;1152;1471
0-1-0-2-0;1191;1191;1518
0-1-0-0-2;1228;1228;1481
0-0-1-2-0;1263;1263;1469
0-0-1-0-2;1268;1268;1451
0-0-0-1-2;1360;1360;1658
1-2-3-0-0;1303;1310;1324
1-2-0-3-0;1317;1322;1344
1-2-0-0-3;1302;1307;1328
1-0-2-3-0;1226;1234;1260
1-0-2-0-3;1224;1230;1255
1-0-0-2-3;1301;1306;1343
0-1-2-3-0;1196;1200;1226
0-1-2-0-3;1187;1195;1213
0-1-0-2-3;1247;1253;1283
0-0-1-2-3;1289;1288;1314
1-2-3-4-0;1124;1135;1151
1-2-3-0-4;1126;1131;1145
1-2-0-3-4;1161;1168;1185
1-0-2-3-4;1138;1145;1167
0-1-2-3-4;1115;1120;1134
1-2-3-4-5;1164;1175;1188
