;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.66978;0.66978;1.00000
0-1-0-0-0;0.59531;0.59531;1.00000
0-0-1-0-0;0.59502;0.59502;1.00000
0-0-0-1-0;0.69935;0.69935;1.00000
0-0-0-0-1;0.69079;0.69079;1.00000
1-2-0-0-0;0.55714;0.55714;0.65549
1-0-2-0-0;0.53198;0.53198;0.67601
1-0-0-2-0;0.59756;0.59756;0.70288
1-0-0-0-2;0.60856;0.60856;0.69745
0-1-2-0-0;0.50418;0.50418;0.62310
0-1-0-2-0;0.54571;0.54571;0.65109
0-1-0-0-2;0.55587;0.55587;0.64087
0-0-1-2-0;0.56615;0.56615;0.61562
0-0-1-0-2;0.57012;0.57012;0.62461
0-0-0-1-2;0.63259;0.63259;0.69903
1-2-3-0-0;0.59517;0.58333;0.55966
1-2-0-3-0;0.60182;0.58929;0.56897
1-2-0-0-3;0.58982;0.58112;0.56609
1-0-2-3-0;0.57927;0.57576;0.54310
1-0-2-0-3;0.57100;0.56250;0.55263
1-0-0-2-3;0.62461;0.62069;0.58754
0-1-2-3-0;0.55522;0.54706;0.53295
0-1-2-0-3;0.55132;0.55132;0.53561
0-1-0-2-3;0.58485;0.57958;0.56433
0-0-1-2-3;0.58437;0.58255;0.56495
1-2-3-4-0;0.52464;0.51282;0.49861
1-2-3-0-4;0.52000;0.51558;0.49863
1-2-0-3-4;0.54867;0.54227;0.51667
1-0-2-3-4;0.53754;0.52959;0.51289
0-1-2-3-4;0.52035;0.52035;0.50565
1-2-3-4-5;0.54438;0.54438;0.52571
