;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;215;215;282
0-1-0-0-0;203;203;282
0-0-1-0-0;191;191;282
0-0-0-1-0;214;214;282
0-0-0-0-1;210;210;282
1-2-0-0-0;195;195;215
1-0-2-0-0;183;183;217
1-0-0-2-0;196;196;220
1-0-0-0-2;199;199;219
0-1-2-0-0;181;181;205
0-1-0-2-0;191;191;209
0-1-0-0-2;194;194;207
0-0-1-2-0;184;184;197
0-0-1-0-2;187;187;198
0-0-0-1-2;198;198;216
1-2-3-0-0;197;196;197
1-2-0-3-0;198;198;198
1-2-0-0-3;197;197;197
1-0-2-3-0;190;190;189
1-0-2-0-3;189;189;189
1-0-0-2-3;198;198;198
0-1-2-3-0;186;186;186
0-1-2-0-3;188;188;188
0-1-0-2-3;193;193;193
0-0-1-2-3;187;187;187
1-2-3-4-0;181;180;180
1-2-3-0-4;182;182;182
1-2-0-3-4;186;186;186
1-0-2-3-4;179;179;179
0-1-2-3-4;179;179;179
1-2-3-4-5;184;184;184
