;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;8369;8369;0
0-1-0-0-0;8521;8521;0
0-0-1-0-0;8619;8619;0
0-0-0-1-0;8348;8348;0
0-0-0-0-1;8273;8273;0
1-2-0-0-0;8775;8775;8288
1-0-2-0-0;8943;8943;8246
1-0-0-2-0;8828;8828;8203
1-0-0-0-2;8763;8763;8233
0-1-2-0-0;8981;8981;8392
0-1-0-2-0;8915;8915;8330
0-1-0-0-2;8821;8821;8385
0-0-1-2-0;8867;8867;8476
0-0-1-0-2;8832;8832;8476
0-0-0-1-2;8715;8715;8212
1-2-3-0-0;8711;8703;8665
1-2-0-3-0;8687;8679;8631
1-2-0-0-3;8704;8695;8658
1-0-2-3-0;8848;8839;8783
1-0-2-0-3;8841;8833;8781
1-0-0-2-3;8738;8726;8665
0-1-2-3-0;8895;8887;8839
0-1-2-0-3;8882;8872;8827
0-1-0-2-3;8797;8792;8727
0-0-1-2-3;8794;8792;8738
1-2-3-4-0;9013;9002;8977
1-2-3-0-4;9000;8993;8965
1-2-0-3-4;8935;8926;8891
1-0-2-3-4;9010;8996;8958
0-1-2-3-4;9043;9034;9005
1-2-3-4-5;8928;8911;8882
