;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.04188;0.04188;0.00000
0-1-0-0-0;0.05941;0.05941;0.00000
0-0-1-0-0;0.06091;0.06091;0.00000
0-0-0-1-0;0.03684;0.03684;0.00000
0-0-0-0-1;0.04592;0.04592;0.00000
1-2-0-0-0;0.06500;0.06500;0.00449
1-0-2-0-0;0.08040;0.08040;0.00437
1-0-0-2-0;0.05670;0.05670;0.00339
1-0-0-0-2;0.07000;0.07000;0.00398
0-1-2-0-0;0.07805;0.07805;0.00629
0-1-0-2-0;0.05941;0.05941;0.00568
0-1-0-0-2;0.07426;0.07426;0.00713
0-0-1-2-0;0.06667;0.06667;0.00839
0-0-1-0-2;0.06500;0.06500;0.00823
0-0-0-1-2;0.05102;0.05102;0.00506
1-2-3-0-0;0.06633;0.06599;0.05941
1-2-0-3-0;0.06186;0.06154;0.05419
1-2-0-0-3;0.05641;0.05584;0.05392
1-0-2-3-0;0.07772;0.07732;0.07500
1-0-2-0-3;0.07216;0.07179;0.07389
1-0-0-2-3;0.04712;0.04688;0.04545
0-1-2-3-0;0.07653;0.07107;0.06699
0-1-2-0-3;0.07653;0.07500;0.06699
0-1-0-2-3;0.05670;0.05612;0.04878
0-0-1-2-3;0.06283;0.06186;0.05970
1-2-3-4-0;0.08163;0.07576;0.07282
1-2-3-0-4;0.08163;0.07921;0.07212
1-2-0-3-4;0.06122;0.06000;0.05392
1-0-2-3-4;0.07732;0.07576;0.07882
0-1-2-3-4;0.07653;0.07426;0.06731
1-2-3-4-5;0.07732;0.07463;0.06829
