;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.04523;0.04523;nan
0-1-0-0-0;0.04385;0.04385;nan
0-0-1-0-0;0.03954;0.03954;nan
0-0-0-1-0;0.04211;0.04211;nan
0-0-0-0-1;0.03985;0.03985;nan
1-2-0-0-0;0.03720;0.03720;0.05336
1-0-2-0-0;0.03268;0.03268;0.05372
1-0-0-2-0;0.03402;0.03402;0.05533
1-0-0-0-2;0.03327;0.03327;0.05369
0-1-2-0-0;0.03311;0.03311;0.05112
0-1-0-2-0;0.03490;0.03490;0.05356
0-1-0-0-2;0.03346;0.03346;0.05170
0-0-1-2-0;0.03235;0.03235;0.05061
0-0-1-0-2;0.03134;0.03134;0.04938
0-0-0-1-2;0.03213;0.03213;0.05130
1-2-3-0-0;0.03037;0.04128;0.05929
1-2-0-3-0;0.03092;0.04204;0.06095
1-2-0-0-3;0.03052;0.04117;0.05919
1-0-2-3-0;0.02912;0.03984;0.06042
1-0-2-0-3;0.02888;0.03927;0.05866
1-0-0-2-3;0.02930;0.04060;0.06046
0-1-2-3-0;0.03002;0.04067;0.05848
0-1-2-0-3;0.02939;0.03947;0.05688
0-1-0-2-3;0.02961;0.04075;0.05870
0-0-1-2-3;0.02860;0.03864;0.05668
1-2-3-4-0;0.02792;0.03658;0.04764
1-2-3-0-4;0.02786;0.03585;0.04666
1-2-0-3-4;0.02789;0.03667;0.04755
1-0-2-3-4;0.02710;0.03530;0.04651
0-1-2-3-4;0.02745;0.03565;0.04601
1-2-3-4-5;0.03288;0.03988;0.04962
