;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.04360;0.04360;nan
0-1-0-0-0;0.04226;0.04226;nan
0-0-1-0-0;0.03836;0.03836;nan
0-0-0-1-0;0.04084;0.04084;nan
0-0-0-0-1;0.03849;0.03849;nan
1-2-0-0-0;0.03570;0.03570;0.05190
1-0-2-0-0;0.03150;0.03150;0.05255
1-0-0-2-0;0.03277;0.03277;0.05409
1-0-0-0-2;0.03194;0.03194;0.05232
0-1-2-0-0;0.03191;0.03191;0.04994
0-1-0-2-0;0.03363;0.03363;0.05227
0-1-0-0-2;0.03214;0.03214;0.05029
0-0-1-2-0;0.03128;0.03128;0.04954
0-0-1-0-2;0.03021;0.03021;0.04821
0-0-0-1-2;0.03095;0.03095;0.05018
1-2-3-0-0;0.02914;0.03998;0.05811
1-2-0-3-0;0.02967;0.04071;0.05973
1-2-0-0-3;0.02923;0.03978;0.05787
1-0-2-3-0;0.02803;0.03871;0.05939
1-0-2-0-3;0.02770;0.03805;0.05752
1-0-0-2-3;0.02810;0.03933;0.05934
0-1-2-3-0;0.02891;0.03951;0.05736
0-1-2-0-3;0.02819;0.03820;0.05567
0-1-0-2-3;0.02842;0.03947;0.05753
0-0-1-2-3;0.02752;0.03755;0.05565
1-2-3-4-0;0.02682;0.03540;0.04647
1-2-3-0-4;0.02671;0.03462;0.04541
1-2-0-3-4;0.02671;0.03540;0.04626
1-0-2-3-4;0.02604;0.03419;0.04545
0-1-2-3-4;0.02636;0.03450;0.04491
1-2-3-4-5;0.03171;0.03872;0.04846
