;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;9662737;9662737;0
0-1-0-0-0;9372203;9372203;0
0-0-1-0-0;8541830;8541830;0
0-0-0-1-0;9008978;9008978;0
0-0-0-0-1;8461725;8461725;0
1-2-0-0-0;8041667;8041667;11311251
1-0-2-0-0;7116875;7116875;11381413
1-0-0-2-0;7381198;7381198;11731997
1-0-0-0-2;7191788;7191788;11386559
0-1-2-0-0;7212754;7212754;10825768
0-1-0-2-0;7598926;7598926;11346180
0-1-0-0-2;7227081;7227081;10971467
0-0-1-2-0;7042089;7042089;10845591
0-0-1-0-2;6812767;6812767;10559196
0-0-0-1-2;6960946;6960946;10868878
1-2-3-0-0;6535425;8873982;12702854
1-2-0-3-0;6664692;9056247;13069971
1-2-0-0-3;6577329;8859258;12699422
1-0-2-3-0;6326076;8650193;13050849
1-0-2-0-3;6258831;8511516;12643018
1-0-0-2-3;6341894;8779194;12981188
0-1-2-3-0;6528767;8839245;12627866
0-1-2-0-3;6370335;8543401;12254161
0-1-0-2-3;6406557;8811080;12594309
0-0-1-2-3;6215332;8383657;12228694
1-2-3-4-0;6087731;7972061;10355716
1-2-3-0-4;6065846;7797444;10111092
1-2-0-3-4;6060086;7952700;10275833
1-0-2-3-4;5920266;7696711;10104272
0-1-2-3-4;6000180;7788454;10011493
1-2-3-4-5;7143828;8644618;10721832
