;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.08000;0.08000;nan
0-1-0-0-0;0.12209;0.12209;nan
0-0-1-0-0;0.04861;0.04861;nan
0-0-0-1-0;0.00000;0.00000;nan
0-0-0-0-1;0.16667;0.16667;nan
1-2-0-0-0;0.05556;0.05556;0.09231
1-0-2-0-0;0.04494;0.04494;0.10000
1-0-0-2-0;0.04167;0.04167;0.07576
1-0-0-0-2;0.09821;0.09821;0.13889
0-1-2-0-0;0.06122;0.06122;0.12209
0-1-0-2-0;0.05714;0.05714;0.12162
0-1-0-0-2;0.11724;0.11724;0.10526
0-0-1-2-0;0.05556;0.05556;0.08333
0-0-1-0-2;0.04861;0.04861;0.08772
0-0-0-1-2;0.16667;0.16667;0.00000
1-2-3-0-0;0.02564;0.05517;0.10377
1-2-0-3-0;0.03896;0.07619;0.11628
1-2-0-0-3;0.01613;0.06667;0.10828
1-0-2-3-0;0.05521;0.06283;0.09274
1-0-2-0-3;0.04730;0.05682;0.12042
1-0-0-2-3;0.00000;0.08333;0.07576
0-1-2-3-0;0.06630;0.06731;0.11290
0-1-2-0-3;0.06630;0.06630;0.12097
0-1-0-2-3;0.06173;0.06173;0.12838
0-0-1-2-3;0.06202;0.08527;0.09615
1-2-3-4-0;0.04663;0.05645;0.10484
1-2-3-0-4;0.04663;0.05430;0.11290
1-2-0-3-4;0.03896;0.05714;0.12121
1-0-2-3-4;0.04663;0.06787;0.09886
0-1-2-3-4;0.06630;0.08287;0.10096
1-2-3-4-5;0.06630;0.08287;0.12019
