;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;8;8;0
0-1-0-0-0;21;21;0
0-0-1-0-0;7;7;0
0-0-0-1-0;0;0;0
0-0-0-0-1;8;8;0
1-2-0-0-0;8;8;12
1-0-2-0-0;8;8;10
1-0-0-2-0;3;3;5
1-0-0-0-2;11;11;5
0-1-2-0-0;12;12;21
0-1-0-2-0;6;6;18
0-1-0-0-2;17;17;14
0-0-1-2-0;8;8;13
0-0-1-0-2;7;7;10
0-0-0-1-2;8;8;0
1-2-3-0-0;3;8;22
1-2-0-3-0;3;8;20
1-2-0-0-3;1;6;17
1-0-2-3-0;9;12;23
1-0-2-0-3;7;10;23
1-0-0-2-3;0;3;5
0-1-2-3-0;12;14;28
0-1-2-0-3;12;12;30
0-1-0-2-3;5;5;19
0-0-1-2-3;8;11;15
1-2-3-4-0;9;14;26
1-2-3-0-4;9;12;28
1-2-0-3-4;3;6;16
1-0-2-3-4;9;15;26
0-1-2-3-4;12;15;21
1-2-3-4-5;12;15;25
