;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;14;14;0
0-1-0-0-0;35;35;0
0-0-1-0-0;18;18;0
0-0-0-1-0;14;14;0
0-0-0-0-1;29;29;0
1-2-0-0-0;24;24;21
1-0-2-0-0;21;21;21
1-0-0-2-0;15;15;15
1-0-0-0-2;31;31;20
0-1-2-0-0;33;33;30
0-1-0-2-0;22;22;27
0-1-0-0-2;41;41;37
0-0-1-2-0;19;19;20
0-0-1-0-2;21;21;31
0-0-0-1-2;23;23;24
1-2-3-0-0;19;25;31
1-2-0-3-0;17;24;29
1-2-0-0-3;20;27;40
1-0-2-3-0;21;25;35
1-0-2-0-3;23;27;49
1-0-0-2-3;15;19;29
0-1-2-3-0;28;26;37
0-1-2-0-3;30;34;46
0-1-0-2-3;24;29;36
0-0-1-2-3;22;27;37
1-2-3-4-0;26;25;38
1-2-3-0-4;28;31;47
1-2-0-3-4;23;28;35
1-0-2-3-4;24;31;43
0-1-2-3-4;31;37;38
1-2-3-4-5;33;37;42
