;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;474;474;0
0-1-0-0-0;513;513;0
0-0-1-0-0;650;650;0
0-0-0-1-0;501;501;0
0-0-0-0-1;499;499;0
1-2-0-0-0;665;665;403
1-0-2-0-0;847;847;436
1-0-0-2-0;733;733;372
1-0-0-0-2;705;705;432
0-1-2-0-0;810;810;479
0-1-0-2-0;683;683;459
0-1-0-0-2;694;694;473
0-0-1-2-0;824;824;559
0-0-1-0-2;775;775;521
0-0-0-1-2;679;679;440
1-2-3-0-0;743;659;540
1-2-0-3-0;708;623;504
1-2-0-0-3;706;660;546
1-0-2-3-0;885;772;630
1-0-2-0-3;811;740;609
1-0-0-2-3;770;693;537
0-1-2-3-0;801;747;613
0-1-2-0-3;801;730;591
0-1-0-2-3;739;693;533
0-0-1-2-3;849;722;621
1-2-3-4-0;898;818;723
1-2-3-0-4;863;798;685
1-2-0-3-4;837;773;676
1-0-2-3-4;971;842;741
0-1-2-3-4;930;843;731
1-2-3-4-5;817;750;669
