;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.12000;0.12000;nan
0-1-0-0-0;0.20349;0.20349;nan
0-0-1-0-0;0.24306;0.24306;nan
0-0-0-1-0;0.12500;0.12500;nan
0-0-0-0-1;0.02083;0.02083;nan
1-2-0-0-0;0.22917;0.22917;0.22308
1-0-2-0-0;0.16292;0.16292;0.07000
1-0-0-2-0;0.15278;0.15278;0.25758
1-0-0-0-2;0.09821;0.09821;0.05556
0-1-2-0-0;0.18878;0.18878;0.19186
0-1-0-2-0;0.22857;0.22857;0.22297
0-1-0-0-2;0.15862;0.15862;0.21805
0-0-1-2-0;0.23611;0.23611;0.20513
0-0-1-0-2;0.23611;0.23611;0.22807
0-0-0-1-2;0.02083;0.02083;0.12500
1-2-3-0-0;0.24786;0.20690;0.17453
1-2-0-3-0;0.29870;0.21905;0.20930
1-2-0-0-3;0.30645;0.22222;0.20382
1-0-2-3-0;0.14724;0.13089;0.15323
1-0-2-0-3;0.14189;0.12500;0.11518
1-0-0-2-3;0.12500;0.05556;0.25758
0-1-2-3-0;0.18785;0.17788;0.17742
0-1-2-0-3;0.18232;0.18232;0.17742
0-1-0-2-3;0.25926;0.24691;0.21622
0-0-1-2-3;0.23256;0.22481;0.20513
1-2-3-4-0;0.20725;0.17742;0.15726
1-2-3-0-4;0.20207;0.18100;0.15726
1-2-0-3-4;0.29870;0.21905;0.19697
1-0-2-3-4;0.20725;0.18100;0.16730
0-1-2-3-4;0.18785;0.18232;0.17308
1-2-3-4-5;0.18232;0.18232;0.17308
