;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;12;12;0
0-1-0-0-0;35;35;0
0-0-1-0-0;35;35;0
0-0-0-1-0;1;1;0
0-0-0-0-1;1;1;0
1-2-0-0-0;33;33;29
1-0-2-0-0;29;29;7
1-0-0-2-0;11;11;17
1-0-0-0-2;11;11;2
0-1-2-0-0;37;37;33
0-1-0-2-0;24;24;33
0-1-0-0-2;23;23;29
0-0-1-2-0;34;34;32
0-0-1-0-2;34;34;26
0-0-0-1-2;1;1;1
1-2-3-0-0;29;30;37
1-2-0-3-0;23;23;36
1-2-0-0-3;19;20;32
1-0-2-3-0;24;25;38
1-0-2-0-3;21;22;22
1-0-0-2-3;1;2;17
0-1-2-3-0;34;37;44
0-1-2-0-3;33;33;44
0-1-0-2-3;21;20;32
0-0-1-2-3;30;29;32
1-2-3-4-0;40;44;39
1-2-3-0-4;39;40;39
1-2-0-3-4;23;23;26
1-0-2-3-4;40;40;44
0-1-2-3-4;34;33;36
1-2-3-4-5;33;33;36
