;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.10302;0.10302;nan
0-1-0-0-0;0.08952;0.08952;nan
0-0-1-0-0;0.09587;0.09587;nan
0-0-0-1-0;0.09814;0.09814;nan
0-0-0-0-1;0.08441;0.08441;nan
1-2-0-0-0;0.10753;0.10753;0.08656
1-0-2-0-0;0.11112;0.11112;0.08584
1-0-0-2-0;0.11627;0.11627;0.08060
1-0-0-0-2;0.10438;0.10438;0.08560
0-1-2-0-0;0.10602;0.10602;0.07754
0-1-0-2-0;0.10640;0.10640;0.07622
0-1-0-0-2;0.10092;0.10092;0.07588
0-0-1-2-0;0.11288;0.11288;0.08214
0-0-1-0-2;0.10733;0.10733;0.07865
0-0-0-1-2;0.10702;0.10702;0.08035
1-2-3-0-0;0.11511;0.09924;0.07913
1-2-0-3-0;0.11855;0.10037;0.07613
1-2-0-0-3;0.11513;0.10096;0.07923
1-0-2-3-0;0.12511;0.10758;0.08210
1-0-2-0-3;0.11885;0.10350;0.07993
1-0-0-2-3;0.12521;0.10720;0.08006
0-1-2-3-0;0.11921;0.10212;0.07838
0-1-2-0-3;0.11323;0.09767;0.07614
0-1-0-2-3;0.11756;0.10153;0.07277
0-0-1-2-3;0.12098;0.10065;0.07783
1-2-3-4-0;0.12666;0.10959;0.08854
1-2-3-0-4;0.12168;0.10504;0.08656
1-2-0-3-4;0.12651;0.10724;0.08911
1-0-2-3-4;0.12971;0.10953;0.08909
0-1-2-3-4;0.12380;0.10616;0.08423
1-2-3-4-5;0.11760;0.10092;0.08339
