;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;656;656;0
0-1-0-0-0;673;673;0
0-0-1-0-0;843;843;0
0-0-0-1-0;661;661;0
0-0-0-0-1;590;590;0
1-2-0-0-0;900;900;547
1-0-2-0-0;1080;1080;526
1-0-0-2-0;990;990;465
1-0-0-0-2;865;865;513
0-1-2-0-0;1051;1051;561
0-1-0-2-0;942;942;533
0-1-0-0-2;855;855;547
0-0-1-2-0;1072;1072;672
0-0-1-0-2;1012;1012;635
0-0-0-1-2;887;887;519
1-2-3-0-0;944;821;648
1-2-0-3-0;965;817;620
1-2-0-0-3;943;827;649
1-0-2-3-0;1142;982;752
1-0-2-0-3;1084;944;729
1-0-0-2-3;1022;875;657
0-1-2-3-0;1109;950;726
0-1-2-0-3;1041;898;700
0-1-0-2-3;1005;868;625
0-0-1-2-3;1113;926;717
1-2-3-4-0;1261;1099;884
1-2-3-0-4;1185;1023;843
1-2-0-3-4;1162;985;822
1-0-2-3-4;1305;1102;897
0-1-2-3-4;1242;1065;846
1-2-3-4-5;1114;956;789
