;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;52;52;0
0-1-0-0-0;62;62;0
0-0-1-0-0;68;68;0
0-0-0-1-0;42;42;0
0-0-0-0-1;32;32;0
1-2-0-0-0;73;73;42
1-0-2-0-0;89;89;45
1-0-0-2-0;71;71;40
1-0-0-0-2;69;69;40
0-1-2-0-0;83;83;56
0-1-0-2-0;68;68;57
0-1-0-0-2;71;71;52
0-0-1-2-0;80;80;60
0-0-1-0-2;70;70;54
0-0-0-1-2;48;48;35
1-2-3-0-0;75;72;60
1-2-0-3-0;70;66;60
1-2-0-0-3;64;62;55
1-0-2-3-0;89;84;75
1-0-2-0-3;81;78;74
1-0-0-2-3;61;57;51
0-1-2-3-0;83;76;70
0-1-2-0-3;81;75;68
0-1-0-2-3;66;60;53
0-0-1-2-3;76;70;66
1-2-3-4-0;92;83;75
1-2-3-0-4;90;82;73
1-2-0-3-4;71;63;57
1-0-2-3-4;89;80;78
0-1-2-3-4;84;77;72
1-2-3-4-5;81;77;72
