;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.13741;0.13741;0.47913
0-1-0-0-0;0.15575;0.15575;0.48949
0-0-1-0-0;0.12909;0.12909;0.48226
0-0-0-1-0;0.10992;0.10992;0.46869
0-0-0-0-1;0.10783;0.10783;0.46601
1-2-0-0-0;0.18332;0.18332;0.21180
1-0-2-0-0;0.17979;0.17979;0.22029
1-0-0-2-0;0.17294;0.17294;0.21005
1-0-0-0-2;0.16894;0.16894;0.20093
0-1-2-0-0;0.19237;0.19237;0.22583
0-1-0-2-0;0.18585;0.18585;0.21963
0-1-0-0-2;0.18180;0.18180;0.20749
0-0-1-2-0;0.16083;0.16083;0.18513
0-0-1-0-2;0.15994;0.15994;0.18216
0-0-0-1-2;0.14671;0.14671;0.17874
1-2-3-0-0;0.15891;0.15942;0.16186
1-2-0-3-0;0.15516;0.15568;0.15878
1-2-0-0-3;0.16006;0.16064;0.16300
1-0-2-3-0;0.15119;0.15178;0.15542
1-0-2-0-3;0.15568;0.15620;0.15955
1-0-0-2-3;0.14612;0.14691;0.15093
0-1-2-3-0;0.16154;0.16205;0.16510
0-1-2-0-3;0.16523;0.16586;0.16869
0-1-0-2-3;0.15827;0.15859;0.16275
0-0-1-2-3;0.14199;0.14212;0.14572
1-2-3-4-0;0.18307;0.18374;0.18525
1-2-3-0-4;0.18603;0.18646;0.18814
1-2-0-3-4;0.18113;0.18168;0.18380
1-0-2-3-4;0.17400;0.17487;0.17721
0-1-2-3-4;0.18295;0.18350;0.18525
1-2-3-4-5;0.16636;0.16744;0.16926
