;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;5;5;10122
0-1-0-0-0;16;16;10551
0-0-1-0-0;11;11;10250
0-0-0-1-0;4;4;9707
0-0-0-0-1;10;10;9603
1-2-0-0-0;14;14;1373
1-0-2-0-0;13;13;1644
1-0-0-2-0;8;8;1586
1-0-0-0-2;14;14;1321
0-1-2-0-0;19;19;1562
0-1-0-2-0;16;16;1575
0-1-0-0-2;16;16;1217
0-0-1-2-0;9;9;1125
0-0-1-0-2;14;14;1029
0-0-0-1-2;10;10;1197
1-2-3-0-0;10;11;16
1-2-0-3-0;8;9;17
1-2-0-0-3;9;11;18
1-0-2-3-0;7;8;14
1-0-2-0-3;8;9;17
1-0-0-2-3;5;6;12
0-1-2-3-0;10;11;23
0-1-2-0-3;10;14;23
0-1-0-2-3;8;10;19
0-0-1-2-3;5;8;15
1-2-3-4-0;10;12;20
1-2-3-0-4;10;16;22
1-2-0-3-4;10;14;18
1-0-2-3-4;8;12;17
0-1-2-3-4;10;16;22
1-2-3-4-5;8;15;19
