;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.20655;0.20655;0.52087
0-1-0-0-0;0.19050;0.19050;0.51051
0-0-1-0-0;0.18876;0.18876;0.51774
0-0-0-1-0;0.21483;0.21483;0.53131
0-0-0-0-1;0.22142;0.22142;0.53399
1-2-0-0-0;0.16543;0.16543;0.19454
1-0-2-0-0;0.15362;0.15362;0.19542
1-0-0-2-0;0.16355;0.16355;0.20108
1-0-0-0-2;0.16925;0.16925;0.20122
0-1-2-0-0;0.14848;0.14848;0.18376
0-1-0-2-0;0.15456;0.15456;0.18963
0-1-0-0-2;0.16232;0.16232;0.18862
0-0-1-2-0;0.16297;0.16297;0.18720
0-0-1-0-2;0.16581;0.16581;0.18789
0-0-0-1-2;0.17750;0.17750;0.20837
1-2-3-0-0;0.17527;0.17577;0.17816
1-2-0-3-0;0.17789;0.17839;0.18141
1-2-0-0-3;0.17556;0.17613;0.17844
1-0-2-3-0;0.16631;0.16689;0.17047
1-0-2-0-3;0.16596;0.16647;0.16979
1-0-0-2-3;0.17584;0.17660;0.18048
0-1-2-3-0;0.16070;0.16121;0.16426
0-1-2-0-3;0.16098;0.16161;0.16446
0-1-0-2-3;0.16882;0.16914;0.17325
0-0-1-2-3;0.17232;0.17245;0.17592
1-2-3-4-0;0.14781;0.14851;0.15008
1-2-3-0-4;0.14824;0.14868;0.15044
1-2-0-3-4;0.15397;0.15453;0.15673
1-0-2-3-4;0.14968;0.15057;0.15298
0-1-2-3-4;0.14560;0.14617;0.14801
1-2-3-4-5;0.15727;0.15836;0.16020
