;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;299;299;383
0-1-0-0-0;281;281;383
0-0-1-0-0;261;261;383
0-0-0-1-0;289;289;383
0-0-0-0-1;288;288;383
1-2-0-0-0;269;269;300
1-0-2-0-0;249;249;302
1-0-0-2-0;265;265;307
1-0-0-0-2;271;271;304
0-1-2-0-0;246;246;285
0-1-0-2-0;261;261;288
0-1-0-0-2;268;268;285
0-0-1-2-0;250;250;270
0-0-1-0-2;253;253;271
0-0-0-1-2;269;269;292
1-2-3-0-0;272;271;272
1-2-0-3-0;273;273;273
1-2-0-0-3;272;272;272
1-0-2-3-0;258;258;257
1-0-2-0-3;257;257;257
1-0-0-2-3;270;270;269
0-1-2-3-0;255;255;255
0-1-2-0-3;256;256;256
0-1-0-2-3;265;265;264
0-0-1-2-3;255;255;254
1-2-3-4-0;246;245;245
1-2-3-0-4;248;248;248
1-2-0-3-4;256;256;255
1-0-2-3-4;243;243;242
0-1-2-3-4;244;244;243
1-2-3-4-5;252;252;252
