;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.93194;0.93194;0.01804
0-1-0-0-0;0.86139;0.86139;0.01732
0-0-1-0-0;0.88325;0.88325;0.01782
0-0-0-1-0;0.94211;0.94211;0.01880
0-0-0-0-1;0.90306;0.90306;0.01900
1-2-0-0-0;0.86500;0.86500;0.11482
1-0-2-0-0;0.85427;0.85427;0.09727
1-0-0-2-0;0.90206;0.90206;0.10158
1-0-0-0-2;0.86000;0.86000;0.11944
0-1-2-0-0;0.82927;0.82927;0.10011
0-1-0-2-0;0.86139;0.86139;0.09994
0-1-0-0-2;0.84653;0.84653;0.12545
0-0-1-2-0;0.88718;0.88718;0.13349
0-0-1-0-2;0.86500;0.86500;0.14486
0-0-0-1-2;0.89796;0.89796;0.12943
1-2-3-0-0;0.88265;0.87817;0.86139
1-2-0-3-0;0.89691;0.89231;0.86207
1-2-0-0-3;0.89744;0.88832;0.85784
1-0-2-3-0;0.88601;0.88144;0.85500
1-0-2-0-3;0.88660;0.88205;0.84236
1-0-0-2-3;0.92670;0.92188;0.89394
0-1-2-3-0;0.87245;0.87310;0.82297
0-1-2-0-3;0.87245;0.85500;0.82297
0-1-0-2-3;0.90206;0.89286;0.85854
0-0-1-2-3;0.91099;0.89691;0.86567
1-2-3-4-0;0.86735;0.86364;0.83010
1-2-3-0-4;0.86735;0.84158;0.82212
1-2-0-3-4;0.88776;0.87000;0.85784
1-0-2-3-4;0.88144;0.86364;0.83744
0-1-2-3-4;0.87245;0.84653;0.82692
1-2-3-4-5;0.88144;0.85075;0.83902
