;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.43740;0.43740;nan
0-1-0-0-0;0.43768;0.43768;nan
0-0-1-0-0;0.44071;0.44071;nan
0-0-0-1-0;0.43825;0.43825;nan
0-0-0-0-1;0.43951;0.43951;nan
1-2-0-0-0;0.43072;0.43072;0.44462
1-0-2-0-0;0.43086;0.43086;0.44826
1-0-0-2-0;0.42949;0.42949;0.44732
1-0-0-0-2;0.43072;0.43072;0.44754
0-1-2-0-0;0.43114;0.43114;0.44748
0-1-0-2-0;0.43026;0.43026;0.44619
0-1-0-0-2;0.43076;0.43076;0.44699
0-0-1-2-0;0.43152;0.43152;0.44764
0-0-1-0-2;0.43348;0.43348;0.44754
0-0-0-1-2;0.43114;0.43114;0.44774
1-2-3-0-0;0.42602;0.43948;0.45089
1-2-0-3-0;0.42479;0.43896;0.44977
1-2-0-0-3;0.42633;0.43945;0.45050
1-0-2-3-0;0.42541;0.44036;0.45136
1-0-2-0-3;0.42704;0.44150;0.45171
1-0-0-2-3;0.42510;0.44027;0.45103
0-1-2-3-0;0.42602;0.44014;0.45085
0-1-2-0-3;0.42717;0.44068;0.45089
0-1-0-2-3;0.42557;0.44001;0.45052
0-0-1-2-3;0.42681;0.44089;0.45041
1-2-3-4-0;0.42232;0.43531;0.44516
1-2-3-0-4;0.42358;0.43614;0.44536
1-2-0-3-4;0.42228;0.43570;0.44431
1-0-2-3-4;0.42257;0.43665;0.44532
0-1-2-3-4;0.42322;0.43646;0.44528
1-2-3-4-5;0.43240;0.44092;0.44770
