;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.43741;0.43741;nan
0-1-0-0-0;0.43768;0.43768;nan
0-0-1-0-0;0.44072;0.44072;nan
0-0-0-1-0;0.43825;0.43825;nan
0-0-0-0-1;0.43952;0.43952;nan
1-2-0-0-0;0.43072;0.43072;0.44463
1-0-2-0-0;0.43087;0.43087;0.44827
1-0-0-2-0;0.42949;0.42949;0.44732
1-0-0-0-2;0.43073;0.43073;0.44754
0-1-2-0-0;0.43114;0.43114;0.44748
0-1-0-2-0;0.43026;0.43026;0.44619
0-1-0-0-2;0.43076;0.43076;0.44699
0-0-1-2-0;0.43152;0.43152;0.44765
0-0-1-0-2;0.43349;0.43349;0.44754
0-0-0-1-2;0.43114;0.43114;0.44774
1-2-3-0-0;0.42603;0.43949;0.45090
1-2-0-3-0;0.42480;0.43897;0.44978
1-2-0-0-3;0.42634;0.43946;0.45051
1-0-2-3-0;0.42542;0.44037;0.45136
1-0-2-0-3;0.42704;0.44151;0.45171
1-0-0-2-3;0.42510;0.44027;0.45103
0-1-2-3-0;0.42602;0.44014;0.45085
0-1-2-0-3;0.42718;0.44069;0.45090
0-1-0-2-3;0.42557;0.44002;0.45053
0-0-1-2-3;0.42681;0.44089;0.45041
1-2-3-4-0;0.42233;0.43531;0.44517
1-2-3-0-4;0.42358;0.43615;0.44536
1-2-0-3-4;0.42228;0.43570;0.44431
1-0-2-3-4;0.42257;0.43665;0.44533
0-1-2-3-4;0.42323;0.43646;0.44528
1-2-3-4-5;0.43241;0.44093;0.44771
