;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.15000;0.15000;nan
0-1-0-0-0;0.12791;0.12791;nan
0-0-1-0-0;0.21528;0.21528;nan
0-0-0-1-0;0.00000;0.00000;nan
0-0-0-0-1;0.25000;0.25000;nan
1-2-0-0-0;0.12500;0.12500;0.14615
1-0-2-0-0;0.19101;0.19101;0.20000
1-0-0-2-0;0.12500;0.12500;0.19697
1-0-0-0-2;0.18750;0.18750;0.16667
0-1-2-0-0;0.20408;0.20408;0.13953
0-1-0-2-0;0.13333;0.13333;0.13514
0-1-0-0-2;0.18621;0.18621;0.15038
0-0-1-2-0;0.22222;0.22222;0.21795
0-0-1-0-2;0.22222;0.22222;0.27193
0-0-0-1-2;0.25000;0.25000;0.00000
1-2-3-0-0;0.14530;0.15862;0.16509
1-2-0-3-0;0.10390;0.14286;0.12209
1-2-0-0-3;0.12903;0.15556;0.13376
1-0-2-3-0;0.20859;0.20942;0.21774
1-0-2-0-3;0.22297;0.22159;0.23560
1-0-0-2-3;0.00000;0.16667;0.19697
0-1-2-3-0;0.20994;0.19231;0.18952
0-1-2-0-3;0.21547;0.21547;0.18952
0-1-0-2-3;0.16049;0.17284;0.14189
0-0-1-2-3;0.24031;0.24806;0.21795
1-2-3-4-0;0.20725;0.19355;0.21371
1-2-3-0-4;0.21244;0.21267;0.21371
1-2-0-3-4;0.10390;0.14286;0.12879
1-0-2-3-4;0.20725;0.21267;0.20532
0-1-2-3-4;0.20994;0.21547;0.19712
1-2-3-4-5;0.21547;0.21547;0.19712
