;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;93415691;93415691;0
0-1-0-0-0;93517431;93517431;0
0-0-1-0-0;95183797;95183797;0
0-0-0-1-0;93727195;93727195;0
0-0-0-0-1;93306249;93306249;0
1-2-0-0-0;93089208;93089208;94233984
1-0-2-0-0;93791523;93791523;94958105
1-0-0-2-0;93149981;93149981;94827716
1-0-0-0-2;93065801;93065801;94900736
0-1-2-0-0;93904109;93904109;94753473
0-1-0-2-0;93660141;93660141;94502289
0-1-0-0-2;93027391;93027391;94831075
0-0-1-2-0;93909603;93909603;95903579
0-0-1-0-2;94203613;94203613;95675828
0-0-0-1-2;93370055;93370055;94845771
1-2-3-0-0;91649934;94454722;96579268
1-2-0-3-0;91537767;94543617;96433204
1-2-0-0-3;91847464;94547515;96643686
1-0-2-3-0;92395825;95580121;97481302
1-0-2-0-3;92529365;95678336;97332281
1-0-0-2-3;91989470;95177949;96821399
0-1-2-3-0;92633152;95640930;97331111
0-1-2-0-3;92556400;95362746;97119752
0-1-0-2-3;92047498;95123988;96641757
0-0-1-2-3;92729702;95631823;97161955
1-2-3-4-0;92053630;94845053;96735209
1-2-3-0-4;92197671;94832957;96484634
1-2-0-3-4;91731264;94472208;95986348
1-0-2-3-4;92290305;95177208;96717188
0-1-2-3-4;92494490;95311369;96870605
1-2-3-4-5;93916145;95549451;96723645
