;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;102890481;102890481;0
0-1-0-0-0;103226216;103226216;0
0-0-1-0-0;105329641;105329641;0
0-0-0-1-0;103680045;103680045;0
0-0-0-0-1;103692635;103692635;0
1-2-0-0-0;105657522;105657522;100558550
1-0-2-0-0;107492199;107492199;100394612
1-0-0-2-0;106745753;106745753;100070373
1-0-0-0-2;106603849;106603849;100543988
0-1-2-0-0;107486298;107486298;100967146
0-1-0-2-0;106899247;106899247;100418630
0-1-0-0-2;106570472;106570472;101001436
0-0-1-2-0;107587044;107587044;102152386
0-0-1-0-2;107680657;107680657;102340246
0-0-0-1-2;107024250;107024250;101008615
1-2-3-0-0;106739088;104324647;100207532
1-2-0-3-0;106766812;104345878;99975095
1-2-0-0-3;106826932;104435622;100409532
1-0-2-3-0;108009522;105653450;100814574
1-0-2-0-3;107781192;105545248;100956258
1-0-0-2-3;107571732;105058004;100326055
0-1-2-3-0;107958812;105613247;101217405
0-1-2-0-3;107742569;105473203;101374203
0-1-0-2-3;107491779;105051627;100653151
0-0-1-2-3;108243076;105942372;101693902
1-2-3-4-0;108606764;106755478;104099750
1-2-3-0-4;108458465;106649832;104024024
1-2-0-3-4;108215617;106194366;103620912
1-0-2-3-4;109025898;107084838;104408125
0-1-2-3-4;109014041;107171897;104696022
1-2-3-4-5;107129059;105460009;103115784
