;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;102893830;102893830;0
0-1-0-0-0;103229948;103229948;0
0-0-1-0-0;105333772;105333772;0
0-0-0-1-0;103684029;103684029;0
0-0-0-0-1;103696509;103696509;0
1-2-0-0-0;105661660;105661660;100561222
1-0-2-0-0;107496544;107496544;100397446
1-0-0-2-0;106750092;106750092;100073163
1-0-0-0-2;106608085;106608085;100546750
0-1-2-0-0;107490953;107490953;100970228
0-1-0-2-0;106903764;106903764;100421667
0-1-0-0-2;106574887;106574887;101004604
0-0-1-2-0;107591783;107591783;102155656
0-0-1-0-2;107684979;107684979;102343676
0-0-0-1-2;107028858;107028858;101011788
1-2-3-0-0;106743844;104328244;100210106
1-2-0-3-0;106771311;104349604;99977553
1-2-0-0-3;106831462;104439205;100412090
1-0-2-3-0;108014091;105657109;100817305
1-0-2-0-3;107785896;105549185;100958954
1-0-0-2-3;107576452;105061833;100328662
0-1-2-3-0;107963640;105617264;101220221
0-1-2-0-3;107747253;105477065;101377237
0-1-0-2-3;107496382;105055529;100656010
0-0-1-2-3;108247997;105946413;101696907
1-2-3-4-0;108611774;106759694;104102967
1-2-3-0-4;108463457;106654033;104027348
1-2-0-3-4;108220559;106198604;103624128
1-0-2-3-4;109030836;107089050;104411480
0-1-2-3-4;109019085;107176306;104699538
1-2-3-4-5;107133639;105463823;103118809
