;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.48176;0.48176;nan
0-1-0-0-0;0.48310;0.48310;nan
0-0-1-0-0;0.48767;0.48767;nan
0-0-0-1-0;0.48477;0.48477;nan
0-0-0-0-1;0.48842;0.48842;nan
1-2-0-0-0;0.48886;0.48886;0.47446
1-0-2-0-0;0.49379;0.49379;0.47392
1-0-0-2-0;0.49216;0.49216;0.47204
1-0-0-0-2;0.49337;0.49337;0.47414
0-1-2-0-0;0.49348;0.49348;0.47681
0-1-0-2-0;0.49106;0.49106;0.47411
0-1-0-0-2;0.49345;0.49345;0.47606
0-0-1-2-0;0.49435;0.49435;0.47680
0-0-1-0-2;0.49548;0.49548;0.47870
0-0-0-1-2;0.49417;0.49417;0.47682
1-2-3-0-0;0.49615;0.48539;0.46782
1-2-0-3-0;0.49545;0.48446;0.46628
1-2-0-0-3;0.49585;0.48540;0.46805
1-0-2-3-0;0.49729;0.48676;0.46678
1-0-2-0-3;0.49741;0.48702;0.46851
1-0-0-2-3;0.49709;0.48596;0.46734
0-1-2-3-0;0.49649;0.48601;0.46883
0-1-2-0-3;0.49725;0.48739;0.47063
0-1-0-2-3;0.49696;0.48592;0.46921
0-0-1-2-3;0.49820;0.48841;0.47140
1-2-3-4-0;0.49825;0.48996;0.47903
1-2-3-0-4;0.49827;0.49047;0.48014
1-2-0-3-4;0.49815;0.48974;0.47963
1-0-2-3-4;0.49918;0.49126;0.48071
0-1-2-3-4;0.49880;0.49075;0.48123
1-2-3-4-5;0.49322;0.48664;0.47728
