;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.52742;0.52742;nan
0-1-0-0-0;0.50868;0.50868;nan
0-0-1-0-0;0.50977;0.50977;nan
0-0-0-1-0;0.51038;0.51038;nan
0-0-0-0-1;0.51642;0.51642;nan
1-2-0-0-0;0.52938;0.52938;0.50361
1-0-2-0-0;0.52224;0.52224;0.50579
1-0-0-2-0;0.52105;0.52105;0.50786
1-0-0-0-2;0.53516;0.53516;0.49617
0-1-2-0-0;0.51527;0.51527;0.50230
0-1-0-2-0;0.51487;0.51487;0.50137
0-1-0-0-2;0.52774;0.52774;0.49446
0-0-1-2-0;0.51845;0.51845;0.49419
0-0-1-0-2;0.52263;0.52263;0.49748
0-0-0-1-2;0.52385;0.52385;0.49812
1-2-3-0-0;0.53381;0.52127;0.49796
1-2-0-3-0;0.52999;0.52195;0.49826
1-2-0-0-3;0.54071;0.52432;0.49417
1-0-2-3-0;0.52390;0.51548;0.49298
1-0-2-0-3;0.53507;0.52305;0.48944
1-0-0-2-3;0.53024;0.52333;0.49139
0-1-2-3-0;0.51754;0.50908;0.48899
0-1-2-0-3;0.52863;0.51248;0.49101
0-1-0-2-3;0.52777;0.51239;0.48888
0-0-1-2-3;0.52389;0.50809;0.48670
1-2-3-4-0;0.52479;0.51442;0.50012
1-2-3-0-4;0.53798;0.52240;0.50285
1-2-0-3-4;0.53277;0.52135;0.50180
1-0-2-3-4;0.52940;0.51577;0.49971
0-1-2-3-4;0.52504;0.51154;0.49909
1-2-3-4-5;0.52577;0.51640;0.50275
