;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;135;135;0
0-1-0-0-0;206;206;0
0-0-1-0-0;199;199;0
0-0-0-1-0;141;141;0
0-0-0-0-1;160;160;0
1-2-0-0-0;242;242;103
1-0-2-0-0;288;288;128
1-0-0-2-0;214;214;89
1-0-0-0-2;258;258;84
0-1-2-0-0;277;277;185
0-1-0-2-0;219;219;168
0-1-0-0-2;260;260;173
0-0-1-2-0;224;224;187
0-0-1-0-2;211;211;165
0-0-0-1-2;192;192;131
1-2-3-0-0;247;241;209
1-2-0-3-0;224;217;186
1-2-0-0-3;210;203;190
1-0-2-3-0;278;274;264
1-0-2-0-3;265;261;248
1-0-0-2-3;169;165;155
0-1-2-3-0;272;248;237
0-1-2-0-3;270;266;228
0-1-0-2-3;197;192;159
0-0-1-2-3;211;206;196
1-2-3-4-0;299;274;261
1-2-3-0-4;297;294;252
1-2-0-3-4;218;213;180
1-0-2-3-4;275;268;265
0-1-2-3-4;269;263;236
1-2-3-4-5;267;263;232
