;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561;0.561
0-1-0-0-0;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584;0.584
0-0-1-0-0;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603;0.603
0-0-0-1-0;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580;0.580
0-0-0-0-1;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582;0.582
1-2-0-0-0;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587;0.587
1-0-2-0-0;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602
1-0-0-2-0;0.589;0.590;0.590;0.589;0.589;0.590;0.590;0.590;0.589;0.590;0.590;0.589;0.589;0.589;0.589;0.590;0.589;0.590;0.589;0.589;0.590
1-0-0-0-2;0.590;0.589;0.589;0.590;0.590;0.589;0.589;0.589;0.590;0.589;0.589;0.590;0.590;0.590;0.590;0.589;0.590;0.589;0.590;0.590;0.589
0-1-2-0-0;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608;0.608
0-1-0-2-0;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597
0-1-0-0-2;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596;0.596
0-0-1-2-0;0.606;0.607;0.607;0.606;0.606;0.607;0.607;0.607;0.606;0.607;0.607;0.606;0.606;0.606;0.606;0.607;0.606;0.607;0.606;0.606;0.607
0-0-1-0-2;0.604;0.605;0.605;0.604;0.604;0.605;0.605;0.605;0.604;0.605;0.605;0.604;0.604;0.604;0.604;0.605;0.604;0.605;0.604;0.604;0.605
0-0-0-1-2;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597;0.597
1-2-3-0-0;0.605;0.606;0.606;0.605;0.605;0.606;0.606;0.606;0.605;0.606;0.606;0.605;0.605;0.605;0.605;0.606;0.605;0.606;0.605;0.605;0.606
1-2-0-3-0;0.597;0.598;0.598;0.597;0.597;0.598;0.598;0.598;0.597;0.598;0.598;0.597;0.597;0.597;0.597;0.598;0.597;0.598;0.597;0.597;0.598
1-2-0-0-3;0.596;0.597;0.597;0.596;0.596;0.597;0.597;0.597;0.596;0.597;0.597;0.596;0.596;0.596;0.596;0.597;0.596;0.597;0.596;0.596;0.597
1-0-2-3-0;0.605;0.606;0.606;0.605;0.605;0.606;0.606;0.606;0.605;0.606;0.606;0.605;0.605;0.605;0.605;0.606;0.605;0.606;0.605;0.605;0.606
1-0-2-0-3;0.604;0.605;0.605;0.604;0.604;0.605;0.605;0.605;0.604;0.605;0.605;0.604;0.604;0.604;0.604;0.605;0.604;0.605;0.604;0.604;0.605
1-0-0-2-3;0.598;0.599;0.599;0.598;0.598;0.599;0.599;0.599;0.598;0.599;0.599;0.598;0.598;0.598;0.598;0.599;0.598;0.599;0.598;0.598;0.599
0-1-2-3-0;0.609;0.610;0.610;0.609;0.609;0.610;0.610;0.610;0.609;0.610;0.610;0.609;0.609;0.609;0.609;0.610;0.609;0.610;0.609;0.609;0.610
0-1-2-0-3;0.607;0.608;0.608;0.607;0.607;0.608;0.608;0.608;0.607;0.608;0.608;0.607;0.607;0.607;0.607;0.608;0.607;0.608;0.607;0.607;0.608
0-1-0-2-3;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602
0-0-1-2-3;0.607;0.608;0.608;0.607;0.607;0.608;0.608;0.608;0.607;0.608;0.608;0.607;0.607;0.607;0.607;0.608;0.607;0.608;0.607;0.607;0.608
1-2-3-4-0;0.607;0.609;0.609;0.607;0.607;0.609;0.609;0.609;0.607;0.609;0.609;0.607;0.607;0.607;0.607;0.609;0.607;0.609;0.607;0.607;0.609
1-2-3-0-4;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606;0.606
1-2-0-3-4;0.602;0.603;0.603;0.602;0.602;0.603;0.603;0.603;0.602;0.603;0.603;0.602;0.602;0.602;0.602;0.603;0.602;0.603;0.602;0.602;0.603
1-0-2-3-4;0.607;0.608;0.608;0.607;0.607;0.608;0.608;0.608;0.607;0.608;0.608;0.607;0.607;0.607;0.607;0.608;0.607;0.608;0.607;0.607;0.608
0-1-2-3-4;0.609;0.610;0.610;0.609;0.609;0.610;0.610;0.610;0.609;0.610;0.610;0.609;0.609;0.609;0.609;0.610;0.609;0.610;0.609;0.609;0.610
1-2-3-4-5;0.607;0.608;0.608;0.607;0.607;0.608;0.608;0.608;0.607;0.608;0.608;0.607;0.607;0.607;0.607;0.608;0.607;0.608;0.607;0.607;0.608
