;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.25700;0.25700;0.25700;0.25700;0.25700;0.25686;0.25700;0.25700;0.25700;0.25700;0.25700;0.25700;0.25700;0.25700;0.25700;0.25700;0.25700;0.25700;0.25686;0.25700;0.25700
0-1-0-0-0;0.26512;0.26512;0.26512;0.26512;0.26512;0.26502;0.26512;0.26512;0.26512;0.26512;0.26512;0.26512;0.26512;0.26512;0.26512;0.26512;0.26512;0.26512;0.26502;0.26512;0.26512
0-0-1-0-0;0.19078;0.19078;0.19078;0.19078;0.19078;0.19070;0.19078;0.19078;0.19078;0.19078;0.19078;0.19078;0.19078;0.19078;0.19078;0.19078;0.19078;0.19078;0.19070;0.19078;0.19078
0-0-0-1-0;0.27502;0.27502;0.27502;0.27502;0.27502;0.27513;0.27502;0.27502;0.27502;0.27502;0.27502;0.27502;0.27502;0.27502;0.27502;0.27502;0.27502;0.27502;0.27513;0.27502;0.27502
0-0-0-0-1;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328;0.19328
1-2-0-0-0;0.23626;0.23484;0.23484;0.23626;0.23626;0.23475;0.23484;0.23484;0.23626;0.23484;0.23484;0.23626;0.23626;0.23626;0.23626;0.23484;0.23626;0.23484;0.23617;0.23626;0.23484
1-0-2-0-0;0.17951;0.17805;0.17805;0.17951;0.17951;0.17776;0.17805;0.17805;0.17951;0.17805;0.17805;0.17951;0.17951;0.17951;0.17951;0.17805;0.17951;0.17805;0.17921;0.17951;0.17805
1-0-0-2-0;0.23354;0.23204;0.23204;0.23354;0.23354;0.23200;0.23204;0.23204;0.23354;0.23204;0.23204;0.23354;0.23354;0.23354;0.23354;0.23204;0.23354;0.23204;0.23354;0.23354;0.23204
1-0-0-0-2;0.18211;0.18075;0.18075;0.18211;0.18211;0.18075;0.18075;0.18075;0.18211;0.18075;0.18075;0.18211;0.18211;0.18211;0.18211;0.18075;0.18211;0.18075;0.18211;0.18211;0.18075
0-1-2-0-0;0.18072;0.17982;0.17982;0.18072;0.18072;0.17969;0.17982;0.17982;0.18072;0.17982;0.17982;0.18072;0.18072;0.18072;0.18072;0.17982;0.18072;0.17982;0.18059;0.18072;0.17982
0-1-0-2-0;0.23879;0.23743;0.23743;0.23879;0.23879;0.23716;0.23743;0.23743;0.23879;0.23743;0.23743;0.23879;0.23879;0.23879;0.23879;0.23743;0.23879;0.23743;0.23853;0.23879;0.23743
0-1-0-0-2;0.18353;0.18257;0.18257;0.18353;0.18353;0.18257;0.18257;0.18257;0.18353;0.18257;0.18257;0.18353;0.18353;0.18353;0.18353;0.18257;0.18353;0.18257;0.18353;0.18353;0.18257
0-0-1-2-0;0.18367;0.18267;0.18267;0.18367;0.18367;0.18253;0.18267;0.18267;0.18367;0.18267;0.18267;0.18367;0.18367;0.18367;0.18367;0.18267;0.18367;0.18267;0.18357;0.18367;0.18267
0-0-1-0-2;0.16354;0.16123;0.16123;0.16354;0.16354;0.16108;0.16123;0.16123;0.16354;0.16123;0.16123;0.16354;0.16354;0.16354;0.16354;0.16123;0.16354;0.16123;0.16345;0.16354;0.16123
0-0-0-1-2;0.18588;0.18464;0.18464;0.18588;0.18588;0.18437;0.18464;0.18464;0.18588;0.18464;0.18464;0.18588;0.18588;0.18588;0.18588;0.18464;0.18588;0.18464;0.18567;0.18588;0.18464
1-2-3-0-0;0.17470;0.17242;0.17242;0.17470;0.17451;0.17223;0.17264;0.17264;0.17470;0.17264;0.17264;0.17470;0.17470;0.17451;0.17451;0.17242;0.17470;0.17264;0.17431;0.17451;0.17242
1-2-0-3-0;0.22072;0.21808;0.21808;0.22072;0.22072;0.21808;0.21808;0.21808;0.22072;0.21808;0.21808;0.22072;0.22072;0.22072;0.22072;0.21808;0.22072;0.21808;0.22072;0.22072;0.21808
1-2-0-0-3;0.17723;0.17514;0.17514;0.17723;0.17717;0.17521;0.17517;0.17517;0.17723;0.17517;0.17517;0.17723;0.17723;0.17717;0.17717;0.17514;0.17723;0.17517;0.17729;0.17717;0.17514
1-0-2-3-0;0.17509;0.17269;0.17269;0.17509;0.17484;0.17250;0.17288;0.17288;0.17509;0.17288;0.17288;0.17509;0.17509;0.17484;0.17484;0.17269;0.17509;0.17288;0.17468;0.17484;0.17269
1-0-2-0-3;0.15837;0.15528;0.15528;0.15837;0.15834;0.15517;0.15533;0.15533;0.15837;0.15533;0.15533;0.15837;0.15837;0.15834;0.15834;0.15528;0.15837;0.15533;0.15825;0.15834;0.15528
1-0-0-2-3;0.17709;0.17490;0.17490;0.17709;0.17706;0.17477;0.17493;0.17493;0.17709;0.17493;0.17493;0.17709;0.17709;0.17706;0.17706;0.17490;0.17709;0.17493;0.17690;0.17706;0.17490
0-1-2-3-0;0.17592;0.17421;0.17421;0.17592;0.17586;0.17408;0.17427;0.17427;0.17592;0.17427;0.17427;0.17592;0.17592;0.17586;0.17586;0.17421;0.17592;0.17427;0.17582;0.17586;0.17421
0-1-2-0-3;0.15889;0.15623;0.15623;0.15889;0.15892;0.15601;0.15626;0.15626;0.15889;0.15626;0.15626;0.15889;0.15889;0.15892;0.15892;0.15623;0.15889;0.15626;0.15875;0.15892;0.15623
0-1-0-2-3;0.17826;0.17654;0.17654;0.17826;0.17835;0.17638;0.17648;0.17648;0.17826;0.17648;0.17648;0.17826;0.17826;0.17835;0.17835;0.17654;0.17826;0.17648;0.17826;0.17835;0.17654
0-0-1-2-3;0.16047;0.15748;0.15748;0.16047;0.16036;0.15740;0.15762;0.15762;0.16047;0.15762;0.15762;0.16047;0.16047;0.16036;0.16036;0.15748;0.16047;0.15762;0.16027;0.16036;0.15748
1-2-3-4-0;0.17093;0.16805;0.16805;0.17093;0.17077;0.16780;0.16823;0.16823;0.17093;0.16823;0.16823;0.17093;0.17093;0.17077;0.17077;0.16805;0.17093;0.16823;0.17055;0.17077;0.16805
1-2-3-0-4;0.15570;0.15228;0.15228;0.15570;0.15567;0.15222;0.15241;0.15241;0.15570;0.15241;0.15241;0.15570;0.15570;0.15567;0.15567;0.15228;0.15570;0.15241;0.15567;0.15567;0.15228
1-2-0-3-4;0.17307;0.17030;0.17030;0.17307;0.17301;0.17026;0.17030;0.17030;0.17307;0.17030;0.17030;0.17307;0.17307;0.17301;0.17301;0.17030;0.17307;0.17030;0.17304;0.17301;0.17030
1-0-2-3-4;0.15605;0.15247;0.15247;0.15605;0.15588;0.15236;0.15260;0.15260;0.15605;0.15260;0.15260;0.15605;0.15605;0.15588;0.15588;0.15247;0.15605;0.15260;0.15588;0.15588;0.15247
0-1-2-3-4;0.15644;0.15335;0.15335;0.15644;0.15646;0.15327;0.15340;0.15340;0.15644;0.15340;0.15340;0.15644;0.15644;0.15646;0.15646;0.15335;0.15644;0.15340;0.15641;0.15646;0.15335
1-2-3-4-5;0.20754;0.20910;0.20917;0.20754;0.20739;0.20898;0.20921;0.20917;0.20754;0.20921;0.20921;0.20754;0.20747;0.20751;0.20751;0.20917;0.20747;0.20917;0.20739;0.20739;0.20910
