;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;5095;5095;5095;5095;5095;5105;5095;5095;5095;5095;5095;5095;5095;5095;5095;5095;5095;5095;5105;5095;5095
0-1-0-0-0;5096;5096;5096;5096;5096;5105;5096;5096;5096;5096;5096;5096;5096;5096;5096;5096;5096;5096;5105;5096;5096
0-0-1-0-0;5219;5219;5219;5219;5219;5235;5219;5219;5219;5219;5219;5219;5219;5219;5219;5219;5219;5219;5235;5219;5219
0-0-0-1-0;5080;5080;5080;5080;5080;5091;5080;5080;5080;5080;5080;5080;5080;5080;5080;5080;5080;5080;5091;5080;5080
0-0-0-0-1;5180;5180;5180;5180;5180;5195;5180;5180;5180;5180;5180;5180;5180;5180;5180;5180;5180;5180;5195;5180;5180
1-2-0-0-0;5163;5168;5168;5163;5163;5175;5168;5168;5163;5168;5168;5163;5163;5163;5163;5168;5163;5168;5170;5163;5168
1-0-2-0-0;5249;5248;5248;5249;5249;5257;5248;5248;5249;5248;5248;5249;5249;5249;5249;5248;5249;5248;5257;5249;5248
1-0-0-2-0;5175;5177;5177;5175;5175;5190;5177;5177;5175;5177;5177;5175;5175;5175;5175;5177;5175;5177;5188;5175;5177
1-0-0-0-2;5218;5220;5220;5218;5218;5235;5220;5220;5218;5220;5220;5218;5218;5218;5218;5220;5218;5220;5233;5218;5220
0-1-2-0-0;5244;5245;5245;5244;5244;5256;5245;5245;5244;5245;5245;5244;5244;5244;5244;5245;5244;5245;5255;5244;5245
0-1-0-2-0;5164;5165;5165;5164;5164;5172;5165;5165;5164;5165;5165;5164;5164;5164;5164;5165;5164;5165;5171;5164;5165
0-1-0-0-2;5218;5218;5218;5218;5218;5234;5218;5218;5218;5218;5218;5218;5218;5218;5218;5218;5218;5218;5234;5218;5218
0-0-1-2-0;5245;5245;5245;5245;5245;5258;5245;5245;5245;5245;5245;5245;5245;5245;5245;5245;5245;5245;5260;5245;5245
0-0-1-0-2;5259;5260;5260;5259;5259;5270;5260;5260;5259;5260;5260;5259;5259;5259;5259;5260;5259;5260;5270;5259;5260
0-0-0-1-2;5221;5222;5222;5221;5221;5233;5222;5222;5221;5222;5222;5221;5221;5221;5221;5222;5221;5222;5233;5221;5222
1-2-3-0-0;5254;5252;5252;5254;5253;5264;5254;5254;5254;5254;5254;5254;5254;5253;5253;5252;5254;5254;5264;5253;5252
1-2-0-3-0;5193;5196;5196;5193;5195;5211;5196;5196;5193;5196;5196;5193;5193;5195;5195;5196;5193;5196;5209;5195;5196
