;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;35;35;35;35;35;25;35;35;35;35;35;35;35;35;35;35;35;35;25;35;35
0-1-0-0-0;38;38;38;38;38;33;38;38;38;38;38;38;38;38;38;38;38;38;33;38;38
0-0-1-0-0;61;61;61;61;61;46;61;61;61;61;61;61;61;61;61;61;61;61;46;61;61
0-0-0-1-0;43;43;43;43;43;36;43;43;43;43;43;43;43;43;43;43;43;43;36;43;43
0-0-0-0-1;51;51;51;51;51;40;51;51;51;51;51;51;51;51;51;51;51;51;40;51;51
1-2-0-0-0;43;43;43;43;43;36;43;43;43;43;43;43;43;43;43;43;43;43;36;43;43
1-0-2-0-0;65;65;65;65;65;48;65;65;65;65;65;65;65;65;65;65;65;65;48;65;65
1-0-0-2-0;51;52;52;51;51;42;52;52;51;52;52;51;51;51;51;52;51;52;42;51;52
1-0-0-0-2;56;56;56;56;56;43;56;56;56;56;56;56;56;56;56;56;56;56;43;56;56
0-1-2-0-0;62;62;62;62;62;47;62;62;62;62;62;62;62;62;62;62;62;62;47;62;62
0-1-0-2-0;54;54;54;54;54;45;54;54;54;54;54;54;54;54;54;54;54;54;45;54;54
0-1-0-0-2;58;58;58;58;58;47;58;58;58;58;58;58;58;58;58;58;58;58;47;58;58
0-0-1-2-0;62;62;62;62;62;48;62;62;62;62;62;62;62;62;62;62;62;62;47;62;62
0-0-1-0-2;64;66;66;64;64;52;66;66;64;66;66;64;64;64;64;66;64;66;51;64;66
0-0-0-1-2;58;58;58;58;58;44;58;58;58;58;58;58;58;58;58;58;58;58;44;58;58
1-2-3-0-0;66;64;64;66;64;48;66;66;66;66;66;66;66;64;64;64;66;66;48;64;64
1-2-0-3-0;56;56;56;56;55;45;56;56;56;56;56;56;56;55;55;56;56;56;45;55;56
1-2-0-0-3;60;60;60;60;59;48;61;61;60;61;61;60;60;59;59;60;60;61;48;59;60
1-0-2-3-0;68;66;66;68;66;51;68;68;68;68;68;68;68;66;66;66;68;68;50;66;66
1-0-2-0-3;66;67;67;66;65;52;68;68;66;68;68;66;66;65;65;67;66;68;51;65;67
1-0-0-2-3;60;60;60;60;59;46;60;60;60;60;60;60;60;59;59;60;60;60;46;59;60
0-1-2-3-0;65;63;63;65;63;50;65;65;65;65;65;65;65;63;63;63;65;65;50;63;63
0-1-2-0-3;66;66;66;66;64;52;68;68;66;68;68;66;66;64;64;66;66;68;51;64;66
0-1-0-2-3;61;60;60;61;60;49;61;61;61;61;61;61;61;60;60;60;61;61;49;60;60
0-0-1-2-3;65;64;64;65;62;51;67;67;65;67;67;65;65;62;62;64;65;67;50;62;64
1-2-3-4-0;66;65;65;66;65;51;66;66;66;66;66;66;66;65;65;65;66;66;51;65;65
1-2-3-0-4;66;65;65;66;62;52;69;69;66;69;69;66;66;62;62;65;66;69;51;62;65
1-2-0-3-4;62;63;63;62;61;50;63;63;62;63;63;62;62;61;61;63;62;63;50;61;63
1-0-2-3-4;65;66;66;65;62;53;68;68;65;68;68;65;65;62;62;66;65;68;52;62;66
0-1-2-3-4;65;65;65;65;63;54;67;67;65;67;67;65;65;63;63;65;65;67;53;63;65
1-2-3-4-5;55;53;54;55;52;46;55;55;55;55;55;55;54;54;54;54;54;55;46;52;53
