;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191;0.71191
0-1-0-0-0;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364;0.70364
0-0-1-0-0;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344;0.79344
0-0-0-1-0;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182;0.69182
0-0-0-0-1;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842;0.78842
1-2-0-0-0;0.73985;0.74165;0.74165;0.73985;0.73985;0.74165;0.74165;0.74165;0.73985;0.74165;0.74165;0.73985;0.73985;0.73985;0.73985;0.74165;0.73985;0.74165;0.73985;0.73985;0.74165
1-0-2-0-0;0.80707;0.80864;0.80864;0.80707;0.80707;0.80865;0.80864;0.80864;0.80707;0.80864;0.80864;0.80707;0.80707;0.80707;0.80707;0.80864;0.80707;0.80864;0.80708;0.80707;0.80864
1-0-0-2-0;0.74403;0.74594;0.74594;0.74403;0.74403;0.74594;0.74594;0.74594;0.74403;0.74594;0.74594;0.74403;0.74403;0.74403;0.74403;0.74594;0.74403;0.74594;0.74403;0.74403;0.74594
1-0-0-0-2;0.80268;0.80423;0.80423;0.80268;0.80268;0.80423;0.80423;0.80423;0.80268;0.80423;0.80423;0.80268;0.80268;0.80268;0.80268;0.80423;0.80268;0.80423;0.80268;0.80268;0.80423
0-1-2-0-0;0.80545;0.80649;0.80649;0.80545;0.80545;0.80650;0.80649;0.80649;0.80545;0.80649;0.80649;0.80545;0.80545;0.80545;0.80545;0.80649;0.80545;0.80649;0.80546;0.80545;0.80649
0-1-0-2-0;0.73817;0.73972;0.73972;0.73817;0.73817;0.73972;0.73972;0.73972;0.73817;0.73972;0.73972;0.73817;0.73817;0.73817;0.73817;0.73972;0.73817;0.73972;0.73817;0.73817;0.73972
0-1-0-0-2;0.80118;0.80225;0.80225;0.80118;0.80118;0.80225;0.80225;0.80225;0.80118;0.80225;0.80225;0.80118;0.80118;0.80118;0.80118;0.80225;0.80118;0.80225;0.80118;0.80118;0.80225
0-0-1-2-0;0.80231;0.80343;0.80343;0.80231;0.80231;0.80343;0.80343;0.80343;0.80231;0.80343;0.80343;0.80231;0.80231;0.80231;0.80231;0.80343;0.80231;0.80343;0.80232;0.80231;0.80343
0-0-1-0-2;0.82449;0.82706;0.82706;0.82449;0.82449;0.82706;0.82706;0.82706;0.82449;0.82706;0.82706;0.82449;0.82449;0.82449;0.82449;0.82706;0.82449;0.82706;0.82449;0.82449;0.82706
0-0-0-1-2;0.79878;0.80019;0.80019;0.79878;0.79878;0.80019;0.80019;0.80019;0.79878;0.80019;0.80019;0.79878;0.79878;0.79878;0.79878;0.80019;0.79878;0.80019;0.79878;0.79878;0.80019
1-2-3-0-0;0.81258;0.81486;0.81486;0.81258;0.81258;0.81486;0.81486;0.81486;0.81258;0.81486;0.81486;0.81258;0.81258;0.81258;0.81258;0.81486;0.81258;0.81486;0.81259;0.81258;0.81486
1-2-0-3-0;0.75949;0.76263;0.76263;0.75949;0.75949;0.76263;0.76263;0.76263;0.75949;0.76263;0.76263;0.75949;0.75949;0.75949;0.75949;0.76263;0.75949;0.76263;0.75949;0.75949;0.76263
1-2-0-0-3;0.80869;0.81105;0.81105;0.80869;0.80869;0.81105;0.81105;0.81105;0.80869;0.81105;0.81105;0.80869;0.80869;0.80869;0.80869;0.81105;0.80869;0.81105;0.80869;0.80869;0.81105
1-0-2-3-0;0.81243;0.81490;0.81490;0.81243;0.81243;0.81491;0.81490;0.81490;0.81243;0.81490;0.81490;0.81243;0.81243;0.81243;0.81243;0.81490;0.81243;0.81490;0.81244;0.81243;0.81490
1-0-2-0-3;0.83041;0.83383;0.83383;0.83041;0.83041;0.83383;0.83383;0.83383;0.83041;0.83383;0.83383;0.83041;0.83041;0.83041;0.83041;0.83383;0.83041;0.83383;0.83041;0.83041;0.83383
1-0-0-2-3;0.80909;0.81162;0.81162;0.80909;0.80909;0.81162;0.81162;0.81162;0.80909;0.81162;0.81162;0.80909;0.80909;0.80909;0.80909;0.81162;0.80909;0.81162;0.80909;0.80909;0.81162
0-1-2-3-0;0.81106;0.81304;0.81304;0.81106;0.81106;0.81305;0.81304;0.81304;0.81106;0.81304;0.81304;0.81106;0.81106;0.81106;0.81106;0.81304;0.81106;0.81304;0.81107;0.81106;0.81304
0-1-2-0-3;0.82978;0.83284;0.83284;0.82978;0.82978;0.83284;0.83284;0.83284;0.82978;0.83284;0.83284;0.82978;0.82978;0.82978;0.82978;0.83284;0.82978;0.83284;0.82978;0.82978;0.83284
0-1-0-2-3;0.80780;0.80985;0.80985;0.80780;0.80780;0.80985;0.80985;0.80985;0.80780;0.80985;0.80985;0.80780;0.80780;0.80780;0.80780;0.80985;0.80780;0.80985;0.80780;0.80780;0.80985
0-0-1-2-3;0.82827;0.83142;0.83142;0.82827;0.82827;0.83142;0.83142;0.83142;0.82827;0.83142;0.83142;0.82827;0.82827;0.82827;0.82827;0.83142;0.82827;0.83142;0.82827;0.82827;0.83142
1-2-3-4-0;0.81689;0.81997;0.81997;0.81689;0.81689;0.81998;0.81997;0.81997;0.81689;0.81997;0.81997;0.81689;0.81689;0.81689;0.81689;0.81997;0.81689;0.81997;0.81690;0.81689;0.81997
1-2-3-0-4;0.83332;0.83713;0.83713;0.83332;0.83332;0.83713;0.83713;0.83713;0.83332;0.83713;0.83713;0.83332;0.83332;0.83332;0.83332;0.83713;0.83332;0.83713;0.83332;0.83332;0.83713
1-2-0-3-4;0.81382;0.81701;0.81701;0.81382;0.81382;0.81701;0.81701;0.81701;0.81382;0.81701;0.81701;0.81382;0.81382;0.81382;0.81382;0.81701;0.81382;0.81701;0.81382;0.81382;0.81701
1-0-2-3-4;0.83319;0.83711;0.83711;0.83319;0.83319;0.83711;0.83711;0.83711;0.83319;0.83711;0.83711;0.83319;0.83319;0.83319;0.83319;0.83711;0.83319;0.83711;0.83319;0.83319;0.83711
0-1-2-3-4;0.83268;0.83619;0.83619;0.83268;0.83268;0.83619;0.83619;0.83619;0.83268;0.83619;0.83619;0.83268;0.83268;0.83268;0.83268;0.83619;0.83268;0.83619;0.83268;0.83268;0.83619
1-2-3-4-5;0.77561;0.77381;0.77381;0.77561;0.77561;0.77381;0.77381;0.77381;0.77561;0.77381;0.77381;0.77561;0.77561;0.77561;0.77561;0.77381;0.77561;0.77381;0.77561;0.77561;0.77381
