;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;13550;13550;13550;13550;13550;14207;13550;13550;13550;13550;13550;13550;13550;13550;13550;13550;13550;13550;14207;13550;13550
0-1-0-0-0;12740;12740;12740;12740;12740;13437;12740;12740;12740;12740;12740;12740;12740;12740;12740;12740;12740;12740;13437;12740;12740
0-0-1-0-0;20409;20409;20409;20409;20409;21734;20409;20409;20409;20409;20409;20409;20409;20409;20409;20409;20409;20409;21734;20409;20409
0-0-0-1-0;12110;12110;12110;12110;12110;12731;12110;12110;12110;12110;12110;12110;12110;12110;12110;12110;12110;12110;12731;12110;12110
0-0-0-0-1;20103;20103;20103;20103;20103;21101;20103;20103;20103;20103;20103;20103;20103;20103;20103;20103;20103;20103;21101;20103;20103
1-2-0-0-0;15483;15615;15615;15483;15483;16348;15615;15615;15483;15615;15615;15483;15483;15483;15483;15615;15483;15615;16197;15483;15615
1-0-2-0-0;22410;22634;22634;22410;22410;23951;22634;22634;22410;22634;22634;22410;22410;22410;22410;22634;22410;22634;23710;22410;22634
1-0-0-2-0;15783;15928;15928;15783;15783;16696;15928;15928;15783;15928;15928;15783;15783;15783;15783;15928;15783;15928;16534;15783;15928
1-0-0-0-2;22061;22279;22279;22061;22061;23295;22279;22279;22061;22279;22279;22061;22061;22061;22061;22279;22061;22279;23062;22061;22279
0-1-2-0-0;22009;22151;22151;22009;22009;23505;22151;22151;22009;22151;22151;22009;22009;22009;22009;22151;22009;22151;23352;22009;22151
0-1-0-2-0;15119;15220;15220;15119;15119;16014;15220;15220;15119;15220;15220;15119;15119;15119;15119;15220;15119;15220;15888;15119;15220
0-1-0-0-2;21702;21832;21832;21702;21702;22888;21832;21832;21702;21832;21832;21702;21702;21702;21702;21832;21702;21832;22738;21702;21832
0-0-1-2-0;21683;21825;21825;21683;21683;23114;21825;21825;21683;21825;21825;21683;21683;21683;21683;21825;21683;21825;22952;21683;21825
0-0-1-0-2;25329;25742;25742;25329;25329;27044;25742;25742;25329;25742;25742;25329;25329;25329;25329;25742;25329;25742;26564;25329;25742
0-0-0-1-2;21446;21605;21605;21446;21446;22634;21605;21605;21446;21605;21605;21446;21446;21446;21446;21605;21446;21605;22447;21446;21605
