;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;1126;1126;1126;1126;1126;533;1126;1126;1126;1126;1126;1126;1126;1126;1126;1126;1126;1126;533;1126;1126
0-1-0-0-0;1291;1291;1291;1291;1291;711;1291;1291;1291;1291;1291;1291;1291;1291;1291;1291;1291;1291;711;1291;1291
0-0-1-0-0;2296;2296;2296;2296;2296;1170;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;1170;2296;2296
0-0-0-1-0;1184;1184;1184;1184;1184;656;1184;1184;1184;1184;1184;1184;1184;1184;1184;1184;1184;1184;656;1184;1184
0-0-0-0-1;1990;1990;1990;1990;1990;1105;1990;1990;1990;1990;1990;1990;1990;1990;1990;1990;1990;1990;1105;1990;1990
1-2-0-0-0;1382;1408;1408;1382;1382;768;1408;1408;1382;1408;1408;1382;1382;1382;1382;1408;1382;1408;759;1382;1408
1-0-2-0-0;2348;2372;2372;2348;2348;1245;2372;2372;2348;2372;2372;2348;2348;2348;2348;2372;2348;2372;1234;2348;2372
1-0-0-2-0;1459;1485;1485;1459;1459;815;1485;1485;1459;1485;1485;1459;1459;1459;1459;1485;1459;1485;801;1459;1485
1-0-0-0-2;2063;2084;2084;2063;2063;1188;2084;2084;2063;2084;2084;2063;2063;2063;2063;2084;2063;2084;1182;2063;2084
0-1-2-0-0;2454;2476;2476;2454;2454;1341;2476;2476;2454;2476;2476;2454;2454;2454;2454;2476;2454;2476;1329;2454;2476
0-1-0-2-0;1557;1589;1589;1557;1557;927;1589;1589;1557;1589;1589;1557;1557;1557;1557;1589;1557;1589;918;1557;1589
0-1-0-0-2;2169;2201;2201;2169;2169;1285;2201;2201;2169;2201;2201;2169;2169;2169;2169;2201;2169;2201;1272;2169;2201
0-0-1-2-0;2328;2353;2353;2328;2328;1259;2353;2353;2328;2353;2353;2328;2328;2328;2328;2353;2328;2353;1251;2328;2353
0-0-1-0-2;2503;2593;2593;2503;2503;1457;2593;2593;2503;2593;2593;2503;2503;2503;2503;2593;2503;2593;1431;2503;2593
0-0-0-1-2;2088;2135;2135;2088;2088;1233;2135;2135;2088;2135;2135;2088;2088;2088;2088;2135;2088;2135;1210;2088;2135
1-2-3-0-0;2637;2482;2482;2637;2438;1362;2664;2664;2637;2664;2664;2637;2637;2438;2438;2482;2637;2664;1345;2438;2482
1-2-0-3-0;1791;1669;1669;1791;1614;973;1824;1824;1791;1824;1824;1791;1791;1614;1614;1669;1791;1824;953;1614;1669
1-2-0-0-3;2398;2224;2224;2398;2178;1304;2425;2425;2398;2425;2425;2398;2398;2178;2178;2224;2398;2425;1283;2178;2224
