;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;69;69;69;69;69;5;69;69;69;69;69;69;69;69;69;69;69;69;5;69;69
0-1-0-0-0;136;136;136;136;136;19;136;136;136;136;136;136;136;136;136;136;136;136;19;136;136
0-0-1-0-0;215;215;215;215;215;17;215;215;215;215;215;215;215;215;215;215;215;215;17;215;215
0-0-0-1-0;101;101;101;101;101;8;101;101;101;101;101;101;101;101;101;101;101;101;8;101;101
0-0-0-0-1;142;142;142;142;142;29;142;142;142;142;142;142;142;142;142;142;142;142;29;142;142
1-2-0-0-0;105;107;107;105;105;14;107;107;105;107;107;105;105;105;105;107;105;107;14;105;107
1-0-2-0-0;204;209;209;204;204;20;209;209;204;209;209;204;204;204;204;209;204;209;19;204;209
1-0-0-2-0;102;107;107;102;102;9;107;107;102;107;107;102;102;102;102;107;102;107;9;102;107
1-0-0-0-2;149;149;149;149;149;29;149;149;149;149;149;149;149;149;149;149;149;149;29;149;149
0-1-2-0-0;241;242;242;241;241;24;242;242;241;242;242;241;241;241;241;242;241;242;24;241;242
0-1-0-2-0;147;149;149;147;147;17;149;149;147;149;149;147;147;147;147;149;147;149;17;147;149
0-1-0-0-2;174;175;175;174;174;35;175;175;174;175;175;174;174;174;174;175;174;175;35;174;175
0-0-1-2-0;206;210;210;206;206;16;210;210;206;210;210;206;206;206;206;210;206;210;15;206;210
0-0-1-0-2;199;202;202;199;199;36;202;202;199;202;202;199;199;199;199;202;199;202;36;199;202
0-0-0-1-2;153;157;157;153;153;30;157;157;153;157;157;153;153;153;153;157;153;157;30;153;157
1-2-3-0-0;247;224;224;247;219;23;251;251;247;251;251;247;247;219;219;224;247;251;22;219;224
1-2-0-3-0;148;133;133;148;128;16;152;152;148;152;152;148;148;128;128;133;148;152;16;128;133
1-2-0-0-3;189;161;161;189;161;35;188;188;189;188;188;189;189;161;161;161;189;188;35;161;161
1-0-2-3-0;222;210;210;222;198;18;231;231;222;231;231;222;222;198;198;210;222;231;16;198;210
1-0-2-0-3;229;207;207;229;201;38;231;231;229;231;231;229;229;201;201;207;229;231;37;201;207
1-0-0-2-3;168;157;157;168;149;30;175;175;168;175;175;168;168;149;149;157;168;175;30;149;157
0-1-2-3-0;263;239;239;263;238;21;262;262;263;262;262;263;263;238;238;239;263;262;20;238;239
0-1-2-0-3;254;222;222;254;222;38;252;252;254;252;252;254;254;222;222;222;254;252;39;222;222
0-1-0-2-3;204;180;180;204;177;35;204;204;204;204;204;204;204;177;177;180;204;204;35;177;180
0-0-1-2-3;226;201;201;226;196;35;228;228;226;228;228;226;226;196;196;201;226;228;35;196;201
1-2-3-4-0;246;225;225;246;217;22;256;256;246;256;256;246;246;217;217;225;246;256;20;217;225
1-2-3-0-4;252;222;222;252;218;39;252;252;252;252;252;252;252;218;218;222;252;252;38;218;222
1-2-0-3-4;203;174;174;203;169;34;207;207;203;207;207;203;203;169;169;174;203;207;34;169;174
1-0-2-3-4;237;209;209;237;198;37;247;247;237;247;247;237;237;198;198;209;237;247;36;198;209
0-1-2-3-4;257;222;222;257;219;37;259;259;257;259;259;257;257;219;219;222;257;259;38;219;222
1-2-3-4-5;123;75;81;123;75;10;124;111;123;124;124;123;109;81;81;81;109;111;10;75;75
