;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;644;644;644;644;644;647;644;644;644;644;644;644;644;644;644;644;644;644;647;644;644
0-1-0-0-0;629;629;629;629;629;631;629;629;629;629;629;629;629;629;629;629;629;629;631;629;629
0-0-1-0-0;456;456;456;456;456;458;456;456;456;456;456;456;456;456;456;456;456;456;458;456;456
0-0-0-1-0;642;642;642;642;642;640;642;642;642;642;642;642;642;642;642;642;642;642;640;642;642
0-0-0-0-1;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516
1-2-0-0-0;548;543;543;548;548;545;543;543;548;543;543;548;548;548;548;543;548;543;550;548;543
1-0-2-0-0;415;415;415;415;415;424;415;415;415;415;415;415;415;415;415;415;415;415;424;415;415
1-0-0-2-0;523;517;517;523;523;518;517;517;523;517;517;523;523;523;523;517;523;517;523;523;517
1-0-0-0-2;460;458;458;460;460;458;458;458;460;458;458;460;460;460;460;458;460;458;460;460;458
0-1-2-0-0;424;422;422;424;424;426;422;422;424;422;422;424;424;424;424;422;424;422;428;424;422
0-1-0-2-0;525;524;524;525;525;530;524;524;525;524;524;525;525;525;525;524;525;524;531;525;524
0-1-0-0-2;459;458;458;459;459;458;458;458;459;458;458;459;459;459;459;458;459;458;459;459;458
0-0-1-2-0;423;422;422;423;423;426;422;422;423;422;422;423;423;423;423;422;423;422;426;423;422
0-0-1-0-2;407;404;404;407;407;409;404;404;407;404;404;407;407;407;407;404;407;404;410;407;404
0-0-0-1-2;455;453;453;455;455;461;453;453;455;453;453;455;455;455;455;453;455;453;461;455;453
1-2-3-0-0;405;410;410;405;411;416;403;403;405;403;403;405;405;411;411;410;405;403;417;411;410
1-2-0-3-0;491;485;485;491;491;485;485;485;491;485;485;491;491;491;491;485;491;485;491;491;485
1-2-0-0-3;439;436;436;439;441;434;435;435;439;435;435;439;439;441;441;436;439;435;437;441;436
1-0-2-3-0;397;400;400;397;405;406;394;394;397;394;394;397;397;405;405;400;397;394;410;405;400
1-0-2-0-3;395;391;391;395;396;395;389;389;395;389;389;395;395;396;396;391;395;389;399;396;391
1-0-0-2-3;432;427;427;432;433;431;426;426;432;426;426;432;432;433;433;427;432;426;438;433;427
0-1-2-3-0;411;407;407;411;413;411;405;405;411;405;405;411;411;413;413;407;411;405;414;413;407
0-1-2-0-3;397;390;390;397;396;398;389;389;397;389;389;397;397;396;396;390;397;389;402;396;390
0-1-0-2-3;433;427;427;433;430;432;429;429;433;429;429;433;433;430;430;427;433;429;433;430;427
0-0-1-2-3;391;393;393;391;395;396;388;388;391;388;388;391;391;395;395;393;391;388;398;395;393
1-2-3-4-0;397;397;397;397;402;405;391;391;397;391;391;397;397;402;402;397;397;391;409;402;397
1-2-3-0-4;393;388;388;393;394;390;383;383;393;383;383;393;393;394;394;388;393;383;394;394;388
1-2-0-3-4;420;414;414;420;422;415;414;414;420;414;414;420;420;422;422;414;420;414;421;422;414
1-0-2-3-4;385;382;382;385;391;386;377;377;385;377;377;385;385;391;391;382;385;377;391;391;382
0-1-2-3-4;388;381;381;388;387;384;379;379;388;379;379;388;388;387;387;381;388;379;389;387;381
1-2-3-4-5;448;451;449;448;452;454;448;449;448;448;448;448;450;449;449;449;450;449;452;452;451
