;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;97;97;97;97;97;107;97;97;97;97;97;97;97;97;97;97;97;97;107;97;97
0-1-0-0-0;94;94;94;94;94;99;94;94;94;94;94;94;94;94;94;94;94;94;99;94;94
0-0-1-0-0;71;71;71;71;71;86;71;71;71;71;71;71;71;71;71;71;71;71;86;71;71
0-0-0-1-0;89;89;89;89;89;96;89;89;89;89;89;89;89;89;89;89;89;89;96;89;89
0-0-0-0-1;81;81;81;81;81;92;81;81;81;81;81;81;81;81;81;81;81;81;92;81;81
1-2-0-0-0;89;89;89;89;89;96;89;89;89;89;89;89;89;89;89;89;89;89;96;89;89
1-0-2-0-0;67;67;67;67;67;84;67;67;67;67;67;67;67;67;67;67;67;67;84;67;67
1-0-0-2-0;81;80;80;81;81;90;80;80;81;80;80;81;81;81;81;80;81;80;90;81;80
1-0-0-0-2;76;76;76;76;76;89;76;76;76;76;76;76;76;76;76;76;76;76;89;76;76
0-1-2-0-0;70;70;70;70;70;85;70;70;70;70;70;70;70;70;70;70;70;70;85;70;70
0-1-0-2-0;78;78;78;78;78;87;78;78;78;78;78;78;78;78;78;78;78;78;87;78;78
0-1-0-0-2;74;74;74;74;74;85;74;74;74;74;74;74;74;74;74;74;74;74;85;74;74
0-0-1-2-0;70;70;70;70;70;84;70;70;70;70;70;70;70;70;70;70;70;70;85;70;70
0-0-1-0-2;68;66;66;68;68;80;66;66;68;66;66;68;68;68;68;66;68;66;81;68;66
0-0-0-1-2;74;74;74;74;74;88;74;74;74;74;74;74;74;74;74;74;74;74;88;74;74
1-2-3-0-0;66;68;68;66;68;84;66;66;66;66;66;66;66;68;68;68;66;66;84;68;68
1-2-0-3-0;76;76;76;76;77;87;76;76;76;76;76;76;76;77;77;76;76;76;87;77;76
1-2-0-0-3;72;72;72;72;73;84;71;71;72;71;71;72;72;73;73;72;72;71;84;73;72
1-0-2-3-0;64;66;66;64;66;81;64;64;64;64;64;64;64;66;66;66;64;64;82;66;66
1-0-2-0-3;66;65;65;66;67;80;64;64;66;64;64;66;66;67;67;65;66;64;81;67;65
1-0-0-2-3;72;72;72;72;73;86;72;72;72;72;72;72;72;73;73;72;72;72;86;73;72
0-1-2-3-0;67;69;69;67;69;82;67;67;67;67;67;67;67;69;69;69;67;67;82;69;69
0-1-2-0-3;66;66;66;66;68;80;64;64;66;64;64;66;66;68;68;66;66;64;81;68;66
0-1-0-2-3;71;72;72;71;72;83;71;71;71;71;71;71;71;72;72;72;71;71;83;72;72
0-0-1-2-3;67;68;68;67;70;81;65;65;67;65;65;67;67;70;70;68;67;65;82;70;68
1-2-3-4-0;66;67;67;66;67;81;66;66;66;66;66;66;66;67;67;67;66;66;81;67;67
1-2-3-0-4;66;67;67;66;70;80;63;63;66;63;63;66;66;70;70;67;66;63;81;70;67
1-2-0-3-4;70;69;69;70;71;82;69;69;70;69;69;70;70;71;71;69;70;69;82;71;69
1-0-2-3-4;67;66;66;67;70;79;64;64;67;64;64;67;67;70;70;66;67;64;80;70;66
0-1-2-3-4;67;67;67;67;69;78;65;65;67;65;65;67;67;69;69;67;67;65;79;69;67
1-2-3-4-5;77;79;78;77;80;86;77;77;77;77;77;77;78;78;78;78;78;77;86;80;79
