;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.29856;0.29856;0.29856;0.29856;0.29856;0.29036;0.29856;0.29856;0.29856;0.29856;0.29856;0.29856;0.29856;0.29856;0.29856;0.29856;0.29856;0.29856;0.29036;0.29856;0.29856
0-1-0-0-0;0.31667;0.31667;0.31667;0.31667;0.31667;0.30678;0.31667;0.31667;0.31667;0.31667;0.31667;0.31667;0.31667;0.31667;0.31667;0.31667;0.31667;0.31667;0.30678;0.31667;0.31667
0-0-1-0-0;0.15620;0.15620;0.15620;0.15620;0.15620;0.14648;0.15620;0.15620;0.15620;0.15620;0.15620;0.15620;0.15620;0.15620;0.15620;0.15620;0.15620;0.15620;0.14648;0.15620;0.15620
0-0-0-1-0;0.32251;0.32251;0.32251;0.32251;0.32251;0.31286;0.32251;0.32251;0.32251;0.32251;0.32251;0.32251;0.32251;0.32251;0.32251;0.32251;0.32251;0.32251;0.31286;0.32251;0.32251
0-0-0-0-1;0.16043;0.16043;0.16043;0.16043;0.16043;0.15406;0.16043;0.16043;0.16043;0.16043;0.16043;0.16043;0.16043;0.16043;0.16043;0.16043;0.16043;0.16043;0.15406;0.16043;0.16043
1-2-0-0-0;0.27426;0.27277;0.27277;0.27426;0.27426;0.26446;0.27277;0.27277;0.27426;0.27277;0.27277;0.27426;0.27426;0.27426;0.27426;0.27277;0.27426;0.27277;0.26600;0.27426;0.27277
1-0-2-0-0;0.14987;0.14905;0.14905;0.14987;0.14987;0.14024;0.14905;0.14905;0.14987;0.14905;0.14905;0.14987;0.14987;0.14987;0.14987;0.14905;0.14987;0.14905;0.14100;0.14987;0.14905
1-0-0-2-0;0.26937;0.26767;0.26767;0.26937;0.26937;0.25933;0.26767;0.26767;0.26937;0.26767;0.26767;0.26937;0.26937;0.26937;0.26937;0.26767;0.26937;0.26767;0.26109;0.26937;0.26767
1-0-0-0-2;0.15429;0.15351;0.15351;0.15429;0.15429;0.14772;0.15351;0.15351;0.15429;0.15351;0.15351;0.15429;0.15429;0.15429;0.15429;0.15351;0.15429;0.15351;0.14850;0.15429;0.15351
0-1-2-0-0;0.15150;0.15099;0.15099;0.15150;0.15150;0.14192;0.15099;0.15099;0.15150;0.15099;0.15099;0.15150;0.15150;0.15150;0.15150;0.15099;0.15150;0.15099;0.14241;0.15150;0.15099
