;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.04836;0.04836;0.04836;0.04836;0.04836;0.01238;0.04836;0.04836;0.04836;0.04836;0.04836;0.04836;0.04836;0.04836;0.04836;0.04836;0.04836;0.04836;0.01238;0.04836;0.04836
0-1-0-0-0;0.04545;0.04545;0.04545;0.04545;0.04545;0.00986;0.04545;0.04545;0.04545;0.04545;0.04545;0.04545;0.04545;0.04545;0.04545;0.04545;0.04545;0.04545;0.00986;0.04545;0.04545
0-0-1-0-0;0.04149;0.04149;0.04149;0.04149;0.04149;0.00857;0.04149;0.04149;0.04149;0.04149;0.04149;0.04149;0.04149;0.04149;0.04149;0.04149;0.04149;0.04149;0.00857;0.04149;0.04149
0-0-0-1-0;0.04445;0.04445;0.04445;0.04445;0.04445;0.00951;0.04445;0.04445;0.04445;0.04445;0.04445;0.04445;0.04445;0.04445;0.04445;0.04445;0.04445;0.04445;0.00951;0.04445;0.04445
0-0-0-0-1;0.04214;0.04214;0.04214;0.04214;0.04214;0.00996;0.04214;0.04214;0.04214;0.04214;0.04214;0.04214;0.04214;0.04214;0.04214;0.04214;0.04214;0.04214;0.00996;0.04214;0.04214
1-2-0-0-0;0.03827;0.03825;0.03825;0.03827;0.03827;0.01080;0.03825;0.03825;0.03827;0.03825;0.03825;0.03827;0.03827;0.03827;0.03827;0.03825;0.03827;0.03825;0.01083;0.03827;0.03825
1-0-2-0-0;0.03498;0.03501;0.03501;0.03498;0.03498;0.00992;0.03501;0.03501;0.03498;0.03501;0.03501;0.03498;0.03498;0.03498;0.03498;0.03501;0.03498;0.03501;0.00994;0.03498;0.03501
1-0-0-2-0;0.03609;0.03565;0.03565;0.03609;0.03609;0.01001;0.03565;0.03565;0.03609;0.03565;0.03565;0.03609;0.03609;0.03609;0.03609;0.03565;0.03609;0.03565;0.01016;0.03609;0.03565
1-0-0-0-2;0.03468;0.03476;0.03476;0.03468;0.03468;0.01089;0.03476;0.03476;0.03468;0.03476;0.03476;0.03468;0.03468;0.03468;0.03468;0.03476;0.03468;0.03476;0.01082;0.03468;0.03476
0-1-2-0-0;0.03426;0.03438;0.03438;0.03426;0.03426;0.00901;0.03438;0.03438;0.03426;0.03438;0.03438;0.03426;0.03426;0.03426;0.03426;0.03438;0.03426;0.03438;0.00894;0.03426;0.03438
0-1-0-2-0;0.03580;0.03570;0.03570;0.03580;0.03580;0.00946;0.03570;0.03570;0.03580;0.03570;0.03570;0.03580;0.03580;0.03580;0.03580;0.03570;0.03580;0.03570;0.00956;0.03580;0.03570
0-1-0-0-2;0.03503;0.03503;0.03503;0.03503;0.03503;0.01020;0.03503;0.03503;0.03503;0.03503;0.03503;0.03503;0.03503;0.03503;0.03503;0.03503;0.03503;0.03503;0.01023;0.03503;0.03503
0-0-1-2-0;0.03425;0.03430;0.03430;0.03425;0.03425;0.00851;0.03430;0.03430;0.03425;0.03430;0.03430;0.03425;0.03425;0.03425;0.03425;0.03430;0.03425;0.03430;0.00871;0.03425;0.03430
