;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;11054952;11054952;11054952;11054952;11054952;2918561;11054952;11054952;11054952;11054952;11054952;11054952;11054952;11054952;11054952;11054952;11054952;11054952;2918561;11054952;11054952
0-1-0-0-0;10339342;10339342;10339342;10339342;10339342;2297679;10339342;10339342;10339342;10339342;10339342;10339342;10339342;10339342;10339342;10339342;10339342;10339342;2297679;10339342;10339342
0-0-1-0-0;9577274;9577274;9577274;9577274;9577274;2034863;9577274;9577274;9577274;9577274;9577274;9577274;9577274;9577274;9577274;9577274;9577274;9577274;2034863;9577274;9577274
0-0-0-1-0;10055549;10055549;10055549;10055549;10055549;2213873;10055549;10055549;10055549;10055549;10055549;10055549;10055549;10055549;10055549;10055549;10055549;10055549;2213873;10055549;10055549
0-0-0-0-1;9830621;9830621;9830621;9830621;9830621;2390228;9830621;9830621;9830621;9830621;9830621;9830621;9830621;9830621;9830621;9830621;9830621;9830621;2390228;9830621;9830621
1-2-0-0-0;8824098;8818923;8818923;8824098;8824098;2545202;8818923;8818923;8824098;8818923;8818923;8824098;8824098;8824098;8824098;8818923;8824098;8818923;2552533;8824098;8818923
1-0-2-0-0;8138052;8144393;8144393;8138052;8138052;2360648;8144393;8144393;8138052;8144393;8144393;8138052;8138052;8138052;8138052;8144393;8138052;8144393;2367721;8138052;8144393
1-0-0-2-0;8325432;8224013;8224013;8325432;8325432;2358743;8224013;8224013;8325432;8224013;8224013;8325432;8325432;8325432;8325432;8224013;8325432;8224013;2391410;8325432;8224013
1-0-0-0-2;8118203;8133756;8133756;8118203;8118203;2609008;8133756;8133756;8118203;8133756;8133756;8118203;8118203;8118203;8118203;8133756;8118203;8133756;2591894;8118203;8133756
0-1-2-0-0;7979961;8014019;8014019;7979961;7979961;2145447;8014019;8014019;7979961;8014019;8014019;7979961;7979961;7979961;7979961;8014019;7979961;8014019;2128331;7979961;8014019
0-1-0-2-0;8229728;8208030;8208030;8229728;8229728;2216607;8208030;8208030;8229728;8208030;8208030;8229728;8229728;8229728;8229728;8208030;8229728;8208030;2238521;8229728;8208030
0-1-0-0-2;8204533;8204081;8204081;8204533;8204533;2440431;8204081;8204081;8204533;8204081;8204081;8204533;8204533;8204533;8204533;8204081;8204533;8204081;2447231;8204533;8204081
0-0-1-2-0;7949843;7961159;7961159;7949843;7949843;2020853;7961159;7961159;7949843;7961159;7961159;7949843;7949843;7949843;7949843;7961159;7949843;7961159;2067073;7949843;7961159
0-0-1-0-2;7763365;7735802;7735802;7763365;7763365;2149876;7735802;7735802;7763365;7735802;7735802;7763365;7763365;7763365;7763365;7735802;7763365;7735802;2198586;7763365;7735802
0-0-0-1-2;7804953;7810834;7810834;7804953;7804953;2231734;7810834;7810834;7804953;7810834;7810834;7804953;7804953;7804953;7804953;7810834;7804953;7810834;2241803;7804953;7810834
1-2-3-0-0;10241751;7507062;7507062;10241751;7479767;2332654;10226363;10226363;10241751;10226363;10226363;10241751;10241751;7479767;7479767;7507062;10241751;10226363;2350784;7479767;7507062
1-2-0-3-0;10231763;7485282;7485282;10231763;7514284;2315908;10212771;10212771;10231763;10212771;10212771;10231763;10231763;7514284;7514284;7485282;10231763;10212771;2332640;7514284;7485282
1-2-0-0-3;10206707;7510350;7510350;10206707;7507280;2525567;10187625;10187625;10206707;10187625;10187625;10206707;10206707;7507280;7507280;7510350;10206707;10187625;2522020;7507280;7510350
1-0-2-3-0;10092948;7273717;7273717;10092948;7308753;2254620;10024140;10024140;10092948;10024140;10024140;10092948;10092948;7308753;7308753;7273717;10092948;10024140;2284069;7308753;7273717
1-0-2-0-3;9715797;7212659;7212659;9715797;7237746;2425386;9671929;9671929;9715797;9671929;9671929;9715797;9715797;7237746;7237746;7212659;9715797;9671929;2466951;7237746;7212659
1-0-0-2-3;9914950;7188293;7188293;9914950;7192989;2486145;9904359;9904359;9914950;9904359;9904359;9914950;9914950;7192989;7192989;7188293;9914950;9904359;2484306;7192989;7188293
0-1-2-3-0;9702075;7202368;7202368;9702075;7165946;2109736;9708089;9708089;9702075;9708089;9708089;9702075;9702075;7165946;7165946;7202368;9702075;9708089;2094389;7165946;7202368
0-1-2-0-3;9634078;7232476;7232476;9634078;7208848;2291140;9648904;9648904;9634078;9648904;9648904;9634078;9634078;7208848;7208848;7232476;9634078;9648904;2290811;7208848;7232476
0-1-0-2-3;9904838;7243760;7243760;9904838;7249850;2276532;9893068;9893068;9904838;9893068;9893068;9904838;9904838;7249850;7249850;7243760;9904838;9893068;2312147;7249850;7243760
0-0-1-2-3;9422443;6943276;6943276;9422443;6927326;2134286;9391645;9391645;9422443;9391645;9391645;9422443;9422443;6927326;6927326;6943276;9422443;9391645;2192935;6927326;6943276
