;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.08579;0.08579;0.08579;0.08579;0.08579;0.01741;0.08579;0.08579;0.08579;0.08579;0.08579;0.08579;0.08579;0.08579;0.08579;0.08579;0.08579;0.08579;0.01741;0.08579;0.08579
0-1-0-0-0;0.08409;0.08409;0.08409;0.08409;0.08409;0.02494;0.08409;0.08409;0.08409;0.08409;0.08409;0.08409;0.08409;0.08409;0.08409;0.08409;0.08409;0.08409;0.02494;0.08409;0.08409
0-0-1-0-0;0.07718;0.07718;0.07718;0.07718;0.07718;0.02050;0.07718;0.07718;0.07718;0.07718;0.07718;0.07718;0.07718;0.07718;0.07718;0.07718;0.07718;0.07718;0.02050;0.07718;0.07718
0-0-0-1-0;0.08862;0.08862;0.08862;0.08862;0.08862;0.02209;0.08862;0.08862;0.08862;0.08862;0.08862;0.08862;0.08862;0.08862;0.08862;0.08862;0.08862;0.08862;0.02209;0.08862;0.08862
0-0-0-0-1;0.06336;0.06336;0.06336;0.06336;0.06336;0.01657;0.06336;0.06336;0.06336;0.06336;0.06336;0.06336;0.06336;0.06336;0.06336;0.06336;0.06336;0.06336;0.01657;0.06336;0.06336
1-2-0-0-0;0.06811;0.07157;0.07157;0.06811;0.06811;0.01887;0.07157;0.07157;0.06811;0.07157;0.07157;0.06811;0.06811;0.06811;0.06811;0.07157;0.06811;0.07157;0.01831;0.06811;0.07157
1-0-2-0-0;0.07838;0.07838;0.07838;0.07838;0.07838;0.01408;0.07838;0.07838;0.07838;0.07838;0.07838;0.07838;0.07838;0.07838;0.07838;0.07838;0.07838;0.07838;0.01408;0.07838;0.07838
1-0-0-2-0;0.07489;0.07407;0.07407;0.07489;0.07489;0.01014;0.07407;0.07407;0.07489;0.07407;0.07407;0.07489;0.07489;0.07489;0.07489;0.07407;0.07489;0.07407;0.01014;0.07489;0.07407
1-0-0-0-2;0.05536;0.05536;0.05536;0.05536;0.05536;0.01270;0.05536;0.05536;0.05536;0.05536;0.05536;0.05536;0.05536;0.05536;0.05536;0.05536;0.05536;0.05536;0.01270;0.05536;0.05536
0-1-2-0-0;0.06857;0.06931;0.06931;0.06857;0.06857;0.01908;0.06931;0.06931;0.06857;0.06931;0.06931;0.06857;0.06857;0.06857;0.06857;0.06931;0.06857;0.06931;0.01908;0.06857;0.06931
