;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;122;122;122;122;122;20;122;122;122;122;122;122;122;122;122;122;122;122;20;122;122
0-1-0-0-0;149;149;149;149;149;42;149;149;149;149;149;149;149;149;149;149;149;149;42;149;149
0-0-1-0-0;207;207;207;207;207;45;207;207;207;207;207;207;207;207;207;207;207;207;45;207;207
0-0-0-1-0;169;169;169;169;169;37;169;169;169;169;169;169;169;169;169;169;169;169;37;169;169
0-0-0-0-1;148;148;148;148;148;33;148;148;148;148;148;148;148;148;148;148;148;148;33;148;148
1-2-0-0-0;138;145;145;138;138;34;145;145;138;145;145;138;138;138;138;145;138;145;33;138;145
1-0-2-0-0;224;224;224;224;224;33;224;224;224;224;224;224;224;224;224;224;224;224;33;224;224
1-0-0-2-0;164;164;164;164;164;20;164;164;164;164;164;164;164;164;164;164;164;164;20;164;164
1-0-0-0-2;140;140;140;140;140;27;140;140;140;140;140;140;140;140;140;140;140;140;27;140;140
0-1-2-0-0;187;189;189;187;187;45;189;189;187;189;189;187;187;187;187;189;187;189;45;187;189
0-1-0-2-0;175;168;168;175;175;46;168;168;175;168;168;175;175;175;175;168;175;168;46;175;168
0-1-0-0-2;160;168;168;160;160;35;168;168;160;168;168;160;160;160;160;168;160;168;34;160;168
0-0-1-2-0;189;193;193;189;189;45;193;193;189;193;193;189;189;189;189;193;189;193;45;189;193
0-0-1-0-2;177;177;177;177;177;37;177;177;177;177;177;177;177;177;177;177;177;177;40;177;177
0-0-0-1-2;158;161;161;158;158;41;161;161;158;161;161;158;158;158;158;161;158;161;41;158;161
1-2-3-0-0;199;206;206;199;204;36;201;201;199;201;201;199;199;204;204;206;199;201;35;204;206
1-2-0-3-0;170;146;146;170;139;31;177;177;170;177;177;170;170;139;139;146;170;177;30;139;146
1-2-0-0-3;156;147;147;156;140;36;163;163;156;163;163;156;156;140;140;147;156;163;36;140;147
1-0-2-3-0;239;195;195;239;195;34;239;239;239;239;239;239;239;195;195;195;239;239;34;195;195
1-0-2-0-3;178;167;167;178;161;32;175;175;178;175;175;178;178;161;161;167;178;175;31;161;167
1-0-0-2-3;164;145;145;164;144;38;164;164;164;164;164;164;164;144;144;145;164;164;38;144;145
0-1-2-3-0;218;194;194;218;183;49;229;229;218;229;229;218;218;183;183;194;218;229;49;183;194
0-1-2-0-3;211;183;183;211;166;43;213;213;211;213;213;211;211;166;166;183;211;213;41;166;183
0-1-0-2-3;190;147;147;190;145;41;179;179;190;179;179;190;190;145;145;147;190;179;39;145;147
0-0-1-2-3;197;165;165;197;165;43;195;195;197;195;195;197;197;165;165;165;197;195;42;165;165
1-2-3-4-0;231;180;180;231;178;37;233;233;231;233;233;231;231;178;178;180;231;233;37;178;180
1-2-3-0-4;185;168;168;185;158;38;196;196;185;196;196;185;185;158;158;168;185;196;41;158;168
1-2-0-3-4;161;138;138;161;135;39;172;172;161;172;172;161;161;135;135;138;161;172;39;135;138
1-0-2-3-4;181;163;163;181;157;42;186;186;181;186;186;181;181;157;157;163;181;186;41;157;163
0-1-2-3-4;194;160;160;194;157;45;191;191;194;191;191;194;194;157;157;160;194;191;43;157;160
1-2-3-4-5;147;136;145;147;113;41;154;165;147;154;154;147;136;120;120;145;136;165;41;113;136
