;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;8885076;8885076;8885076;8885076;8885076;93304345;8885076;8885076;8885076;8885076;8885076;8885076;8885076;8885076;8885076;8885076;8885076;8885076;93304345;8885076;8885076
0-1-0-0-0;8725766;8725766;8725766;8725766;8725766;94076035;8725766;8725766;8725766;8725766;8725766;8725766;8725766;8725766;8725766;8725766;8725766;8725766;94076035;8725766;8725766
0-0-1-0-0;7797674;7797674;7797674;7797674;7797674;97784991;7797674;7797674;7797674;7797674;7797674;7797674;7797674;7797674;7797674;7797674;7797674;7797674;97784991;7797674;7797674
0-0-0-1-0;8556911;8556911;8556911;8556911;8556911;94077024;8556911;8556911;8556911;8556911;8556911;8556911;8556911;8556911;8556911;8556911;8556911;8556911;94077024;8556911;8556911
0-0-0-0-1;8129867;8129867;8129867;8129867;8129867;97018088;8129867;8129867;8129867;8129867;8129867;8129867;8129867;8129867;8129867;8129867;8129867;8129867;97018088;8129867;8129867
1-2-0-0-0;10677051;10684135;10684135;10677051;10677051;95013654;10684135;10684135;10677051;10684135;10684135;10677051;10677051;10677051;10677051;10684135;10677051;10684135;94963101;10677051;10684135
1-0-2-0-0;10613311;10596290;10596290;10613311;10613311;97270167;10596290;10596290;10613311;10596290;10596290;10613311;10613311;10613311;10613311;10596290;10613311;10596290;97220278;10613311;10596290
1-0-0-2-0;10818330;10917365;10917365;10818330;10818330;95288114;10917365;10917365;10818330;10917365;10917365;10818330;10818330;10818330;10818330;10917365;10818330;10917365;95224294;10818330;10917365
1-0-0-0-2;10751886;10737588;10737588;10751886;10751886;96826778;10737588;10737588;10751886;10737588;10737588;10751886;10751886;10751886;10751886;10737588;10751886;10737588;96827188;10751886;10737588
0-1-2-0-0;10438922;10467487;10467487;10438922;10438922;98007276;10467487;10467487;10438922;10467487;10467487;10438922;10438922;10438922;10438922;10467487;10438922;10467487;97850579;10438922;10467487
0-1-0-2-0;10699005;10702989;10702989;10699005;10699005;95481793;10702989;10702989;10699005;10702989;10702989;10699005;10699005;10699005;10699005;10702989;10699005;10702989;95433272;10699005;10702989
0-1-0-0-2;10603988;10593798;10593798;10603988;10603988;97294490;10593798;10593798;10603988;10593798;10593798;10603988;10603988;10603988;10603988;10593798;10603988;10593798;97286203;10603988;10593798
0-0-1-2-0;10137655;10132008;10132008;10137655;10137655;97805278;10132008;10132008;10137655;10132008;10132008;10137655;10137655;10137655;10137655;10132008;10137655;10132008;97670548;10137655;10132008
0-0-1-0-2;9975237;9904612;9904612;9975237;9975237;98122262;9904612;9904612;9975237;9904612;9904612;9975237;9975237;9975237;9975237;9904612;9975237;9904612;98045454;9975237;9904612
0-0-0-1-2;10573230;10568828;10568828;10573230;10573230;97507927;10568828;10568828;10573230;10568828;10568828;10573230;10573230;10573230;10573230;10568828;10573230;10568828;97486410;10573230;10568828
1-2-3-0-0;8505513;11677522;11677522;8505513;11702164;97374184;8519652;8519652;8505513;8519652;8519652;8505513;8505513;11702164;11702164;11677522;8505513;8519652;97286267;11702164;11677522
1-2-0-3-0;8609084;11956982;11956982;8609084;11871149;95790177;8650029;8650029;8609084;8650029;8650029;8609084;8609084;11871149;11871149;11956982;8609084;8650029;95698705;11871149;11956982
1-2-0-0-3;8730905;11942374;11942374;8730905;11955313;97166614;8689616;8689616;8730905;8689616;8689616;8730905;8730905;11955313;11955313;11942374;8730905;8689616;97162024;11955313;11942374
1-0-2-3-0;8325865;11792739;11792739;8325865;11746132;97510577;8350548;8350548;8325865;8350548;8350548;8325865;8325865;11746132;11746132;11792739;8325865;8350548;97299030;11746132;11792739
1-0-2-0-3;8115864;11629328;11629328;8115864;11692335;97590409;8107059;8107059;8115864;8107059;8107059;8115864;8115864;11692335;11692335;11629328;8115864;8107059;97545233;11692335;11629328
1-0-0-2-3;8541569;12142606;12142606;8541569;12149515;97207019;8561202;8561202;8541569;8561202;8561202;8541569;8541569;12149515;12149515;12142606;8541569;8561202;97154389;12149515;12142606
0-1-2-3-0;8368583;11663367;11663367;8368583;11651369;98029135;8431496;8431496;8368583;8431496;8431496;8368583;8368583;11651369;11651369;11663367;8368583;8431496;97869610;11651369;11663367
0-1-2-0-3;8114720;11570846;11570846;8114720;11561339;97997655;8160725;8160725;8114720;8160725;8160725;8114720;8114720;11561339;11561339;11570846;8114720;8160725;97841583;11561339;11570846
0-1-0-2-3;8611490;11889013;11889013;8611490;11919833;97603516;8582283;8582283;8611490;8582283;8582283;8611490;8611490;11919833;11919833;11889013;8611490;8582283;97547343;11919833;11889013
0-0-1-2-3;8090802;11388349;11388349;8090802;11442871;98170041;8083837;8083837;8090802;8083837;8083837;8090802;8090802;11442871;11442871;11388349;8090802;8083837;98028693;11442871;11388349
1-2-3-4-0;9401320;12610424;12610424;9401320;12556036;97549713;9467460;9467460;9401320;9467460;9467460;9401320;9401320;12556036;12556036;12610424;9401320;9467460;97351500;12556036;12610424
1-2-3-0-4;9385885;12503931;12503931;9385885;12558085;97686633;9364933;9364933;9385885;9364933;9364933;9385885;9385885;12558085;12558085;12503931;9385885;9364933;97637557;12558085;12503931
1-2-0-3-4;9579660;12929167;12929167;9579660;12927006;97423639;9612138;9612138;9579660;9612138;9612138;9579660;9579660;12927006;12927006;12929167;9579660;9612138;97386736;12927006;12929167
1-0-2-3-4;9222580;12633384;12633384;9222580;12663083;97871051;9193902;9193902;9222580;9193902;9193902;9222580;9222580;12663083;12663083;12633384;9222580;9193902;97723297;12663083;12633384
0-1-2-3-4;9129836;12442975;12442975;9129836;12460730;98083107;9174751;9174751;9129836;9174751;9174751;9129836;9129836;12460730;12460730;12442975;9129836;9174751;97932723;12460730;12442975
1-2-3-4-5;8287949;12068081;10426922;8287949;12045343;97134095;8291597;10005289;8287949;8291597;8291597;8287949;10042036;10478948;10478948;10426922;10042036;10005289;97196719;12045343;12068081
