;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.04897;0.04897;0.04897;0.04897;0.04897;0.45722;0.04897;0.04897;0.04897;0.04897;0.04897;0.04897;0.04897;0.04897;0.04897;0.04897;0.04897;0.04897;0.45722;0.04897;0.04897
0-1-0-0-0;0.05027;0.05027;0.05027;0.05027;0.05027;0.46206;0.05027;0.05027;0.05027;0.05027;0.05027;0.05027;0.05027;0.05027;0.05027;0.05027;0.05027;0.05027;0.46206;0.05027;0.05027
0-0-1-0-0;0.04102;0.04102;0.04102;0.04102;0.04102;0.46208;0.04102;0.04102;0.04102;0.04102;0.04102;0.04102;0.04102;0.04102;0.04102;0.04102;0.04102;0.04102;0.46208;0.04102;0.04102
0-0-0-1-0;0.04873;0.04873;0.04873;0.04873;0.04873;0.46061;0.04873;0.04873;0.04873;0.04873;0.04873;0.04873;0.04873;0.04873;0.04873;0.04873;0.04873;0.04873;0.46061;0.04873;0.04873
0-0-0-0-1;0.04413;0.04413;0.04413;0.04413;0.04413;0.46042;0.04413;0.04413;0.04413;0.04413;0.04413;0.04413;0.04413;0.04413;0.04413;0.04413;0.04413;0.04413;0.46042;0.04413;0.04413
1-2-0-0-0;0.05832;0.05833;0.05833;0.05832;0.05832;0.46021;0.05833;0.05833;0.05832;0.05833;0.05833;0.05832;0.05832;0.05832;0.05832;0.05833;0.05832;0.05833;0.46011;0.05832;0.05833
1-0-2-0-0;0.05473;0.05465;0.05465;0.05473;0.05473;0.45994;0.05465;0.05465;0.05473;0.05465;0.05465;0.05473;0.05473;0.05473;0.05473;0.05465;0.05473;0.05465;0.46003;0.05473;0.05465
1-0-0-2-0;0.05849;0.05881;0.05881;0.05849;0.05849;0.45992;0.05881;0.05881;0.05849;0.05881;0.05881;0.05849;0.05849;0.05849;0.05849;0.05881;0.05849;0.05881;0.45957;0.05849;0.05881
1-0-0-0-2;0.05663;0.05650;0.05650;0.05663;0.05663;0.45828;0.05650;0.05650;0.05663;0.05650;0.05650;0.05663;0.05663;0.05663;0.05663;0.05650;0.05663;0.05650;0.45846;0.05663;0.05650
0-1-2-0-0;0.05454;0.05458;0.05458;0.05454;0.05454;0.46236;0.05458;0.05458;0.05454;0.05458;0.05458;0.05454;0.05454;0.05454;0.05454;0.05458;0.05454;0.05458;0.46201;0.05454;0.05458
