;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;11194613;11194613;11194613;11194613;11194613;107765036;11194613;11194613;11194613;11194613;11194613;11194613;11194613;11194613;11194613;11194613;11194613;11194613;107765036;11194613;11194613
0-1-0-0-0;11434982;11434982;11434982;11434982;11434982;107705052;11434982;11434982;11434982;11434982;11434982;11434982;11434982;11434982;11434982;11434982;11434982;11434982;107705052;11434982;11434982
0-0-1-0-0;9469341;9469341;9469341;9469341;9469341;109764499;9469341;9469341;9469341;9469341;9469341;9469341;9469341;9469341;9469341;9469341;9469341;9469341;109764499;9469341;9469341
0-0-0-1-0;11023574;11023574;11023574;11023574;11023574;107183328;11023574;11023574;11023574;11023574;11023574;11023574;11023574;11023574;11023574;11023574;11023574;11023574;107183328;11023574;11023574
0-0-0-0-1;10293884;10293884;10293884;10293884;10293884;110464358;10293884;10293884;10293884;10293884;10293884;10293884;10293884;10293884;10293884;10293884;10293884;10293884;110464358;10293884;10293884
1-2-0-0-0;13446045;13449053;13449053;13446045;13446045;108429817;13449053;13449053;13446045;13449053;13449053;13446045;13446045;13446045;13446045;13449053;13446045;13449053;108410329;13446045;13449053
1-0-2-0-0;12733194;12711948;12711948;12733194;12733194;109502884;12711948;12711948;12733194;12711948;12711948;12733194;12733194;12733194;12733194;12711948;12733194;12711948;109574835;12733194;12711948
1-0-0-2-0;13491577;13566560;13566560;13491577;13491577;108321121;13566560;13566560;13491577;13566560;13566560;13491577;13491577;13491577;13491577;13566560;13491577;13566560;108214102;13491577;13566560
1-0-0-0-2;13254926;13221473;13221473;13254926;13254926;109744419;13221473;13221473;13254926;13221473;13221473;13254926;13254926;13254926;13254926;13221473;13254926;13221473;109813974;13254926;13221473
0-1-2-0-0;12703329;12723879;12723879;12703329;12703329;110127323;12723879;12723879;12703329;12723879;12723879;12703329;12703329;12703329;12703329;12723879;12703329;12723879;109930738;12703329;12723879
0-1-0-2-0;13496712;13530502;13530502;13496712;13496712;107975960;13530502;13530502;13496712;13530502;13530502;13496712;13496712;13496712;13496712;13530502;13496712;13530502;107919689;13496712;13530502
0-1-0-0-2;13142971;13124625;13124625;13142971;13142971;109832486;13124625;13124625;13142971;13124625;13124625;13142971;13142971;13142971;13142971;13124625;13142971;13124625;109853549;13142971;13124625
0-0-1-2-0;12311646;12297201;12297201;12311646;12311646;109632173;12297201;12297201;12311646;12297201;12297201;12311646;12311646;12311646;12311646;12297201;12311646;12297201;109408225;12311646;12297201
0-0-1-0-2;12179990;12063694;12063694;12179990;12179990;110190854;12063694;12063694;12179990;12063694;12063694;12179990;12179990;12179990;12179990;12063694;12179990;12063694;110179776;12179990;12063694
0-0-0-1-2;13078921;13072513;13072513;13078921;13078921;110035794;13072513;13072513;13078921;13072513;13072513;13078921;13078921;13078921;13078921;13072513;13078921;13072513;110014272;13078921;13072513
