;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;8883545;8883545;8883545;8883545;8883545;93302118;8883545;8883545;8883545;8883545;8883545;8883545;8883545;8883545;8883545;8883545;8883545;8883545;93302118;8883545;8883545
0-1-0-0-0;8724173;8724173;8724173;8724173;8724173;94073222;8724173;8724173;8724173;8724173;8724173;8724173;8724173;8724173;8724173;8724173;8724173;8724173;94073222;8724173;8724173
0-0-1-0-0;7795560;7795560;7795560;7795560;7795560;97781725;7795560;7795560;7795560;7795560;7795560;7795560;7795560;7795560;7795560;7795560;7795560;7795560;97781725;7795560;7795560
0-0-0-1-0;8555256;8555256;8555256;8555256;8555256;94074516;8555256;8555256;8555256;8555256;8555256;8555256;8555256;8555256;8555256;8555256;8555256;8555256;94074516;8555256;8555256
0-0-0-0-1;8127925;8127925;8127925;8127925;8127925;97015279;8127925;8127925;8127925;8127925;8127925;8127925;8127925;8127925;8127925;8127925;8127925;8127925;97015279;8127925;8127925
1-2-0-0-0;10675163;10682252;10682252;10675163;10675163;95010956;10682252;10682252;10675163;10682252;10682252;10675163;10675163;10675163;10675163;10682252;10675163;10682252;94960398;10675163;10682252
1-0-2-0-0;10611039;10594018;10594018;10611039;10611039;97266854;10594018;10594018;10611039;10594018;10594018;10611039;10611039;10611039;10611039;10594018;10611039;10594018;97216965;10611039;10594018
1-0-0-2-0;10816462;10915458;10915458;10816462;10816462;95285278;10915458;10915458;10816462;10915458;10915458;10816462;10816462;10816462;10816462;10915458;10816462;10915458;95221511;10816462;10915458
1-0-0-0-2;10749673;10735358;10735358;10749673;10749673;96823782;10735358;10735358;10749673;10735358;10735358;10749673;10749673;10749673;10749673;10735358;10749673;10735358;96824192;10749673;10735358
0-1-2-0-0;10436706;10465260;10465260;10436706;10436706;98003910;10465260;10465260;10436706;10465260;10465260;10436706;10436706;10436706;10436706;10465260;10436706;10465260;97847213;10436706;10465260
0-1-0-2-0;10697088;10701066;10701066;10697088;10697088;95478911;10701066;10701066;10697088;10701066;10701066;10697088;10697088;10697088;10697088;10701066;10697088;10701066;95430429;10697088;10701066
0-1-0-0-2;10601821;10591603;10591603;10601821;10601821;97291441;10591603;10591603;10601821;10591603;10591603;10601821;10601821;10601821;10601821;10591603;10601821;10591603;97283168;10601821;10591603
0-0-1-2-0;10135400;10129760;10129760;10135400;10135400;97802031;10129760;10129760;10135400;10129760;10129760;10135400;10135400;10135400;10135400;10129760;10135400;10129760;97667323;10135400;10129760
0-0-1-0-2;9972997;9902324;9902324;9972997;9972997;98119148;9902324;9902324;9972997;9902324;9902324;9972997;9972997;9972997;9972997;9902324;9972997;9902324;98042348;9972997;9902324
0-0-0-1-2;10570996;10566552;10566552;10570996;10570996;97504914;10566552;10566552;10570996;10566552;10566552;10570996;10570996;10570996;10570996;10566552;10570996;10566552;97483432;10570996;10566552
1-2-3-0-0;8503299;11675231;11675231;8503299;11699869;97370844;8517441;8517441;8503299;8517441;8517441;8503299;8503299;11699869;11699869;11675231;8503299;8517441;97282921;11699869;11675231
1-2-0-3-0;8607072;11954892;11954892;8607072;11869077;95787117;8648011;8648011;8607072;8648011;8648011;8607072;8607072;11869077;11869077;11954892;8607072;8648011;95695683;11869077;11954892
1-2-0-0-3;8728801;11940156;11940156;8728801;11953124;97163633;8687483;8687483;8728801;8687483;8687483;8728801;8728801;11953124;11953124;11940156;8728801;8687483;97159043;11953124;11940156
1-0-2-3-0;8323660;11790464;11790464;8323660;11743883;97507210;8348341;8348341;8323660;8348341;8348341;8323660;8323660;11743883;11743883;11790464;8323660;8348341;97295733;11743883;11790464
1-0-2-0-3;8113658;11626924;11626924;8113658;11690014;97587214;8104796;8104796;8113658;8104796;8104796;8113658;8113658;11690014;11690014;11626924;8113658;8104796;97542042;11690014;11626924
1-0-0-2-3;8539360;12140214;12140214;8539360;12147210;97203966;8558933;8558933;8539360;8558933;8558933;8539360;8539360;12147210;12147210;12140214;8539360;8558933;97151413;12147210;12140214
0-1-2-3-0;8366366;11661057;11661057;8366366;11649104;98025751;8429240;8429240;8366366;8429240;8429240;8366366;8366366;11649104;11649104;11661057;8366366;8429240;97866261;11649104;11661057
0-1-2-0-3;8112440;11568461;11568461;8112440;11558998;97994419;8158417;8158417;8112440;8158417;8158417;8112440;8112440;11558998;11558998;11568461;8112440;8158417;97838351;11558998;11568461
0-1-0-2-3;8609222;11886636;11886636;8609222;11917527;97600432;8579962;8579962;8609222;8579962;8579962;8609222;8609222;11917527;11917527;11886636;8609222;8579962;97544307;11917527;11886636
0-0-1-2-3;8088567;11385993;11385993;8088567;11440554;98166895;8081579;8081579;8088567;8081579;8081579;8088567;8088567;11440554;11440554;11385993;8088567;8081579;98025561;11440554;11385993
1-2-3-4-0;9399085;12608168;12608168;9399085;12553791;97546346;9465214;9465214;9399085;9465214;9465214;9399085;9399085;12553791;12553791;12608168;9399085;9465214;97348174;12553791;12608168
1-2-3-0-4;9383572;12501489;12501489;9383572;12555718;97683383;9362578;9362578;9383572;9362578;9362578;9383572;9383572;12555718;12555718;12501489;9383572;9362578;97634315;12555718;12501489
