;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.17279;0.17279;0.17279;0.17279;0.17279;0.17500;0.17279;0.17279;0.17279;0.17279;0.17279;0.17279;0.17279;0.17279;0.17279;0.17279;0.17279;0.17279;0.17500;0.17279;0.17279
0-1-0-0-0;0.15082;0.15082;0.15082;0.15082;0.15082;0.17188;0.15082;0.15082;0.15082;0.15082;0.15082;0.15082;0.15082;0.15082;0.15082;0.15082;0.15082;0.15082;0.17188;0.15082;0.15082
0-0-1-0-0;0.17538;0.17538;0.17538;0.17538;0.17538;0.15385;0.17538;0.17538;0.17538;0.17538;0.17538;0.17538;0.17538;0.17538;0.17538;0.17538;0.17538;0.17538;0.15385;0.17538;0.17538
0-0-0-1-0;0.17982;0.17982;0.17982;0.17982;0.17982;0.17500;0.17982;0.17982;0.17982;0.17982;0.17982;0.17982;0.17982;0.17982;0.17982;0.17982;0.17982;0.17982;0.17500;0.17982;0.17982
0-0-0-0-1;0.23918;0.23918;0.23918;0.23918;0.23918;0.23214;0.23918;0.23918;0.23918;0.23918;0.23918;0.23918;0.23918;0.23918;0.23918;0.23918;0.23918;0.23918;0.23214;0.23918;0.23918
1-2-0-0-0;0.19084;0.19084;0.19084;0.19084;0.19084;0.17188;0.19084;0.19084;0.19084;0.19084;0.19084;0.19084;0.19084;0.19084;0.19084;0.19084;0.19084;0.19084;0.17188;0.19084;0.19084
1-0-2-0-0;0.17925;0.17925;0.17925;0.17925;0.17925;0.14607;0.17925;0.17925;0.17925;0.17925;0.17925;0.17925;0.17925;0.17925;0.17925;0.17925;0.17925;0.17925;0.14607;0.17925;0.17925
1-0-0-2-0;0.18333;0.18333;0.18333;0.18333;0.18333;0.15625;0.18333;0.18333;0.18333;0.18333;0.18333;0.18333;0.18333;0.18333;0.18333;0.18333;0.18333;0.18333;0.15625;0.18333;0.18333
1-0-0-0-2;0.22289;0.22289;0.22289;0.22289;0.22289;0.18750;0.22289;0.22289;0.22289;0.22289;0.22289;0.22289;0.22289;0.22289;0.22289;0.22289;0.22289;0.22289;0.18750;0.22289;0.22289
0-1-2-0-0;0.17221;0.17221;0.17221;0.17221;0.17221;0.15044;0.17221;0.17221;0.17221;0.17221;0.17221;0.17221;0.17221;0.17221;0.17221;0.17221;0.17221;0.17221;0.15044;0.17221;0.17221
