;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.04032;0.04032;0.04032;0.04032;0.04032;0.42289;0.04032;0.04032;0.04032;0.04032;0.04032;0.04032;0.04032;0.04032;0.04032;0.04032;0.04032;0.04032;0.42289;0.04032;0.04032
0-1-0-0-0;0.03988;0.03988;0.03988;0.03988;0.03988;0.42972;0.03988;0.03988;0.03988;0.03988;0.03988;0.03988;0.03988;0.03988;0.03988;0.03988;0.03988;0.03988;0.42972;0.03988;0.03988
0-0-1-0-0;0.03478;0.03478;0.03478;0.03478;0.03478;0.43446;0.03478;0.03478;0.03478;0.03478;0.03478;0.03478;0.03478;0.03478;0.03478;0.03478;0.03478;0.03478;0.43446;0.03478;0.03478
0-0-0-1-0;0.03920;0.03920;0.03920;0.03920;0.03920;0.42943;0.03920;0.03920;0.03920;0.03920;0.03920;0.03920;0.03920;0.03920;0.03920;0.03920;0.03920;0.03920;0.42943;0.03920;0.03920
0-0-0-0-1;0.03615;0.03615;0.03615;0.03615;0.03615;0.42938;0.03615;0.03615;0.03615;0.03615;0.03615;0.03615;0.03615;0.03615;0.03615;0.03615;0.03615;0.03615;0.42938;0.03615;0.03615
1-2-0-0-0;0.04827;0.04830;0.04830;0.04827;0.04827;0.42861;0.04830;0.04830;0.04827;0.04830;0.04830;0.04827;0.04827;0.04827;0.04827;0.04830;0.04827;0.04830;0.42844;0.04827;0.04830
1-0-2-0-0;0.04724;0.04717;0.04717;0.04724;0.04724;0.43164;0.04717;0.04717;0.04724;0.04717;0.04717;0.04724;0.04724;0.04724;0.04724;0.04717;0.04724;0.04717;0.43145;0.04724;0.04717
1-0-0-2-0;0.04880;0.04924;0.04924;0.04880;0.04880;0.42928;0.04924;0.04924;0.04880;0.04924;0.04924;0.04880;0.04880;0.04880;0.04880;0.04924;0.04880;0.04924;0.42905;0.04880;0.04924
1-0-0-0-2;0.04781;0.04774;0.04774;0.04781;0.04781;0.42835;0.04774;0.04774;0.04781;0.04774;0.04774;0.04781;0.04781;0.04781;0.04781;0.04774;0.04781;0.04774;0.42838;0.04781;0.04774
0-1-2-0-0;0.04642;0.04651;0.04651;0.04642;0.04642;0.43444;0.04651;0.04651;0.04642;0.04651;0.04651;0.04642;0.04642;0.04642;0.04642;0.04651;0.04642;0.04651;0.43413;0.04642;0.04651
