;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;8882560;8882560;8882560;8882560;8882560;93298518;8882560;8882560;8882560;8882560;8882560;8882560;8882560;8882560;8882560;8882560;8882560;8882560;93298518;8882560;8882560
0-1-0-0-0;8723222;8723222;8723222;8723222;8723222;94070154;8723222;8723222;8723222;8723222;8723222;8723222;8723222;8723222;8723222;8723222;8723222;8723222;94070154;8723222;8723222
0-0-1-0-0;7794247;7794247;7794247;7794247;7794247;97777559;7794247;7794247;7794247;7794247;7794247;7794247;7794247;7794247;7794247;7794247;7794247;7794247;97777559;7794247;7794247
0-0-0-1-0;8554219;8554219;8554219;8554219;8554219;94071169;8554219;8554219;8554219;8554219;8554219;8554219;8554219;8554219;8554219;8554219;8554219;8554219;94071169;8554219;8554219
0-0-0-0-1;8126483;8126483;8126483;8126483;8126483;97010996;8126483;8126483;8126483;8126483;8126483;8126483;8126483;8126483;8126483;8126483;8126483;8126483;97010996;8126483;8126483
1-2-0-0-0;10673917;10681006;10681006;10673917;10673917;95007133;10681006;10681006;10673917;10681006;10681006;10673917;10673917;10673917;10673917;10681006;10673917;10681006;94956575;10673917;10681006
1-0-2-0-0;10609448;10592418;10592418;10609448;10609448;97262381;10592418;10592418;10609448;10592418;10592418;10609448;10609448;10609448;10609448;10592418;10609448;10592418;97212492;10609448;10592418
1-0-0-2-0;10814913;10913980;10913980;10814913;10814913;95281327;10913980;10913980;10814913;10913980;10913980;10814913;10814913;10814913;10814913;10913980;10814913;10913980;95217576;10814913;10913980
1-0-0-0-2;10748009;10733722;10733722;10748009;10748009;96819310;10733722;10733722;10748009;10733722;10733722;10748009;10748009;10748009;10748009;10733722;10748009;10733722;96819761;10748009;10733722
0-1-2-0-0;10435190;10463745;10463745;10435190;10435190;97999652;10463745;10463745;10435190;10463745;10463745;10435190;10435190;10435190;10435190;10463745;10435190;10463745;97842975;10435190;10463745
0-1-0-2-0;10695642;10699638;10699638;10695642;10695642;95475019;10699638;10699638;10695642;10699638;10699638;10695642;10695642;10695642;10695642;10699638;10695642;10699638;95426525;10695642;10699638
0-1-0-0-2;10600157;10589957;10589957;10600157;10600157;97287137;10589957;10589957;10600157;10589957;10589957;10600157;10600157;10600157;10600157;10589957;10600157;10589957;97278876;10600157;10589957
0-0-1-2-0;10133775;10128139;10128139;10133775;10133775;97797740;10128139;10128139;10133775;10128139;10128139;10133775;10133775;10133775;10133775;10128139;10133775;10128139;97663038;10133775;10128139
0-0-1-0-2;9971185;9900570;9900570;9971185;9971185;98114498;9900570;9900570;9971185;9900570;9900570;9971185;9971185;9971185;9971185;9900570;9971185;9900570;98037709;9971185;9900570
0-0-0-1-2;10569240;10564831;10564831;10569240;10569240;97500458;10564831;10564831;10569240;10564831;10564831;10569240;10569240;10569240;10569240;10564831;10569240;10564831;97478967;10569240;10564831
1-2-3-0-0;8501847;11673510;11673510;8501847;11698176;97366388;8515961;8515961;8501847;8515961;8515961;8501847;8501847;11698176;11698176;11673510;8501847;8515961;97278489;11698176;11673510
1-2-0-3-0;8605874;11953243;11953243;8605874;11867406;95783080;8646803;8646803;8605874;8646803;8646803;8605874;8605874;11867406;11867406;11953243;8605874;8646803;95691693;11867406;11953243
1-2-0-0-3;8727299;11938270;11938270;8727299;11951241;97159065;8685966;8685966;8727299;8685966;8685966;8727299;8727299;11951241;11951241;11938270;8727299;8685966;97154505;11951241;11938270
1-0-2-3-0;8322162;11788588;11788588;8322162;11741994;97502778;8346819;8346819;8322162;8346819;8346819;8322162;8322162;11741994;11741994;11788588;8322162;8346819;97291296;11741994;11788588
1-0-2-0-3;8112081;11625020;11625020;8112081;11688037;97582521;8103235;8103235;8112081;8103235;8103235;8112081;8112081;11688037;11688037;11625020;8112081;8103235;97537391;11688037;11625020
1-0-0-2-3;8537832;12138297;12138297;8537832;12145271;97199333;8557415;8557415;8537832;8557415;8557415;8537832;8537832;12145271;12145271;12138297;8537832;8557415;97146832;12145271;12138297
0-1-2-3-0;8364991;11659220;11659220;8364991;11647252;98021409;8427845;8427845;8364991;8427845;8427845;8364991;8364991;11647252;11647252;11659220;8364991;8427845;97861947;11647252;11659220
0-1-2-0-3;8110901;11566578;11566578;8110901;11557074;97989874;8156912;8156912;8110901;8156912;8156912;8110901;8110901;11557074;11557074;11566578;8110901;8156912;97833798;11557074;11566578
0-1-0-2-3;8607881;11884761;11884761;8607881;11915608;97595922;8578600;8578600;8607881;8578600;8578600;8607881;8607881;11915608;11915608;11884761;8607881;8578600;97539817;11915608;11884761
0-0-1-2-3;8087029;11384042;11384042;8087029;11438553;98162243;8080039;8080039;8087029;8080039;8080039;8087029;8087029;11438553;11438553;11384042;8087029;8080039;98020915;11438553;11384042
1-2-3-4-0;9397554;12606121;12606121;9397554;12551747;97541944;9463643;9463643;9397554;9463643;9463643;9397554;9397554;12551747;12551747;12606121;9397554;9463643;97343801;12551747;12606121
1-2-3-0-4;9381976;12499501;12499501;9381976;12553682;97678727;9360985;9360985;9381976;9360985;9360985;9381976;9381976;12553682;12553682;12499501;9381976;9360985;97629705;12553682;12499501
1-2-0-3-4;9575896;12924731;12924731;9575896;12922659;97415934;9608307;9608307;9575896;9608307;9608307;9575896;9575896;12922659;12922659;12924731;9575896;9608307;97379144;12922659;12924731
1-0-2-3-4;9218634;12628850;12628850;9218634;12658559;97863126;9189942;9189942;9218634;9189942;9189942;9218634;9218634;12658559;12658559;12628850;9218634;9189942;97715436;12658559;12628850
0-1-2-3-4;9125919;12438479;12438479;9125919;12456256;98075257;9170801;9170801;9125919;9170801;9170801;9125919;9125919;12456256;12456256;12438479;9125919;9170801;97924865;12456256;12438479
1-2-3-4-5;8284443;12063706;10422808;8284443;12041052;97126567;8288027;10001439;8284443;8288027;8288027;8284443;10038253;10474913;10474913;10422808;10038253;10001439;97189306;12041052;12063706
