;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;21756;21756;21756;21756;21756;22762;21756;21756;21756;21756;21756;21756;21756;21756;21756;21756;21756;21756;22762;21756;21756
0-1-0-0-0;19833;19833;19833;19833;19833;20855;19833;19833;19833;19833;19833;19833;19833;19833;19833;19833;19833;19833;20855;19833;19833
0-0-1-0-0;53714;53714;53714;53714;53714;58125;53714;53714;53714;53714;53714;53714;53714;53714;53714;53714;53714;53714;58125;53714;53714
0-0-0-1-0;19161;19161;19161;19161;19161;20147;19161;19161;19161;19161;19161;19161;19161;19161;19161;19161;19161;19161;20147;19161;19161
0-0-0-0-1;51706;51706;51706;51706;51706;54397;51706;51706;51706;51706;51706;51706;51706;51706;51706;51706;51706;51706;54397;51706;51706
1-2-0-0-0;25141;25350;25350;25141;25141;26512;25350;25350;25141;25350;25350;25141;25141;25141;25141;25350;25141;25350;26276;25141;25350
1-0-2-0-0;56695;57060;57060;56695;56695;61421;57060;57060;56695;57060;57060;56695;56695;56695;56695;57060;56695;57060;61032;56695;57060
1-0-0-2-0;25917;26158;26158;25917;25917;27408;26158;26158;25917;26158;26158;25917;25917;25917;25917;26158;25917;26158;27138;25917;26158
1-0-0-0-2;54476;54820;54820;54476;54476;57531;54820;54820;54476;54820;54820;54476;54476;54476;54476;54820;54476;54820;57161;54476;54820
0-1-2-0-0;55943;56172;56172;55943;55943;60548;56172;56172;55943;56172;56172;55943;55943;55943;55943;56172;55943;56172;60297;55943;56172
0-1-0-2-0;24367;24532;24532;24367;24367;25808;24532;24532;24367;24532;24532;24367;24367;24367;24367;24532;24367;24532;25605;24367;24532
0-1-0-0-2;53809;54019;54019;53809;53809;56765;54019;54019;53809;54019;54019;53809;53809;53809;53809;54019;53809;54019;56525;53809;54019
0-0-1-2-0;55582;55800;55800;55582;55582;60140;55800;55800;55582;55800;55800;55582;55582;55582;55582;55800;55582;55800;59880;55582;55800
0-0-1-0-2;70795;72029;72029;70795;70795;76480;72029;72029;70795;72029;72029;70795;70795;70795;70795;72029;70795;72029;75089;70795;72029
0-0-0-1-2;53652;53917;53917;53652;53652;56639;53917;53917;53652;53917;53917;53652;53652;53652;53652;53917;53652;53917;56338;53652;53917
1-2-3-0-0;57543;58422;58422;57543;57876;62740;58117;58117;57543;58117;58117;57543;57543;57876;57876;58422;57543;58117;62157;57876;58422
1-2-0-3-0;27993;28710;28710;27993;28284;30063;28451;28451;27993;28451;28451;27993;27993;28284;28284;28710;27993;28451;29578;28284;28710
1-2-0-0-3;55263;56156;56156;55263;55625;58882;55822;55822;55263;55822;55822;55263;55263;55625;55625;56156;55263;55822;58304;55625;56156
1-0-2-3-0;57690;58585;58585;57690;58021;62896;58292;58292;57690;58292;58292;57690;57690;58021;58021;58585;57690;58292;62268;58021;58585
1-0-2-0-3;71986;73994;73994;71986;72418;78438;73600;73600;71986;73600;73600;71986;71986;72418;72418;73994;71986;73600;76698;72418;73994
1-0-0-2-3;55543;56468;56468;55543;55882;59206;56163;56163;55543;56163;56163;55543;55543;55882;55882;56468;55543;56163;58574;55882;56468
0-1-2-3-0;57008;57761;57761;57008;57344;62100;57472;57472;57008;57472;57472;57008;57008;57344;57344;57761;57008;57472;61627;57344;57761
